"V1"	"V2"
"1"	-0.108	-0.146
"2"	-0.324	-0.138
"3"	0.582	0.491
"4"	-0.055	-0.12
"5"	0.562	0.383
"6"	0.39	0.399
"7"	0.76	0.668
"8"	0.463	0.436
"9"	0.522	0.367
"10"	0.287	0.27
"11"	0.369	0.213
"12"	0.599	0.401
"13"	0.298	0.098
"14"	-0.068	-0.133
"15"	0.208	0.485
"16"	0.789	0.62
"17"	0.387	0.367
"18"	0.153	0.046
"19"	0.427	0.645
"20"	0.022	0.182
"21"	0.194	0.176
"22"	0.596	0.659
"23"	0.009	0.135
"24"	0.643	0.575
"25"	-0.083	0.125
"26"	0.106	-0.103
"27"	0.225	0.178
"28"	0.031	0.113
"29"	0.142	0.348
"30"	0.553	0.289
"31"	0.302	0.294
"32"	0.393	0.523
"33"	0.238	0.41
"34"	0.045	0.102
"35"	0.674	0.653
"36"	0.199	0.031
"37"	0.3	0.433
"38"	-0.4	-0.361
"39"	0.129	0.077
"40"	0.363	0.319
"41"	0.664	0.506
"42"	0.557	0.497
"43"	-0.243	-0.214
"44"	0.186	-0.035
"45"	0.416	0.471
"46"	0.553	0.32
"47"	-0.695	-0.535
"48"	-0.078	-0.25
"49"	0.457	0.517
"50"	-0.063	-0.15
"51"	-0.02	-0.094
"52"	0.442	0.288
"53"	0.276	0.135
"54"	0.113	-0.023
"55"	-0.217	-0.235
"56"	-0.255	-0.114
"57"	0.099	-0.193
"58"	0.562	0.483
"59"	0.18	-0.009
"60"	0.453	0.403
"61"	0.461	0.282
"62"	0.294	0.054
"63"	0.807	0.662
"64"	0.284	0.169
"65"	0.125	0.092
"66"	0.339	0.301
"67"	0.155	0.521
"68"	0.435	0.273
"69"	-0.034	-0.013
"70"	-0.229	-0.072
"71"	0.141	0.189
"72"	0.103	0.031
"73"	0.502	0.425
"74"	0.124	0.052
"75"	0.051	-0.131
"76"	-0.031	0.047
"77"	0.034	0.003
"78"	0.577	0.5
"79"	0.186	0.119
"80"	0.679	0.549
"81"	0.652	0.63
"82"	0.107	0.184
"83"	-0.007	-0.22
"84"	-0.037	0.384
"85"	0.058	-0.212
"86"	0.16	0.301
"87"	-0.075	-0.028
"88"	-0.379	-0.051
"89"	0.317	0.368
"90"	0.455	0.453
"91"	0.512	0.054
"92"	-0.449	-0.342
"93"	0.374	0.362
"94"	-0.103	-0.047
"95"	0.675	0.253
"96"	0.304	0.26
"97"	0.338	0.52
"98"	0.063	0.337
"99"	0.036	0.035
"100"	-0.055	0.027
"101"	-0.069	0.058
"102"	0.2	0.101
"103"	0.285	0.158
"104"	0.633	0.619
"105"	0.213	-0.003
"106"	0.159	0.125
"107"	0.218	0.262
"108"	0.026	-0.136
"109"	0.405	0.186
"110"	0.47	0.24
"111"	0.1	-0.165
"112"	0.569	0.539
"113"	0.497	0.356
"114"	-0.174	-0.335
"115"	-0.242	-0.31
"116"	-0.015	0.152
"117"	-0.071	-0.256
"118"	0.174	-0.077
"119"	-0.267	-0.304
"120"	0.661	0.553
"121"	0.347	0.38
"122"	-0.506	-0.375
"123"	0.331	0.323
"124"	0.502	0.594
"125"	0.663	0.674
"126"	0.562	0.581
"127"	0.171	0.107
"128"	0.476	0.366
"129"	0.559	0.449
"130"	0.322	-0.145
"131"	-0.15	-0.329
"132"	0.871	0.771
"133"	0.668	0.578
"134"	0.062	0.208
"135"	0.74	0.692
"136"	0.46	0.516
"137"	0.213	0.202
"138"	-0.003	-0.124
"139"	0.172	0.189
"140"	0.243	0.206
"141"	-0.097	-0.437
"142"	0.411	0.392
"143"	0.275	0.161
"144"	0.831	0.746
"145"	0.145	0.317
"146"	0.445	0.327
"147"	0.199	0.242
"148"	0.17	0.28
"149"	0.018	-0.276
"150"	-0.07	-0.158
"151"	0.223	0.097
"152"	0.123	0.08
"153"	0.25	0.152
"154"	-0.199	0.215
"155"	0.402	0.485
"156"	0.064	-0.098
"157"	-0.402	-0.444
"158"	0.489	0.471
"159"	0.465	0.391
"160"	-0.196	-0.11
"161"	-0.065	-0.124
"162"	0.226	0.231
"163"	0.573	0.431
"164"	0.462	0.174
