"V1"	"V2"
"1"	-0.343	-0.39
"2"	-0.509	-0.349
"3"	0.462	0.372
"4"	-0.236	-0.191
"5"	0.513	0.346
"6"	-0.031	0.067
"7"	0.568	0.536
"8"	0.28	0.225
"9"	0.477	0.337
"10"	0.083	0.034
"11"	0.107	-0.233
"12"	0.542	0.323
"13"	0.12	-0.28
"14"	-0.183	-0.191
"15"	-0.166	0.203
"16"	0.035	-0.19
"17"	0.147	0.162
"18"	0.099	0.055
"19"	0.248	0.397
"20"	-0.097	-0.098
"21"	0.11	0.103
"22"	0.419	0.568
"23"	-0.452	-0.292
"24"	0.364	0.201
"25"	-0.229	-0.093
"26"	-0.012	-0.192
"27"	0.072	0.027
"28"	-0.171	-0.09
"29"	-0.174	0.213
"30"	-0.129	-0.135
"31"	-0.167	0.073
"32"	-0.193	-0.338
"33"	-0.02	0.078
"34"	-0.137	0.044
"35"	0.572	0.499
"36"	-0.102	-0.458
"37"	0.06	0.217
"38"	-0.598	-0.67
"39"	-0.301	-0.337
"40"	-0.107	-0.229
"41"	0.573	0.375
"42"	0.122	0.107
"43"	-0.458	-0.291
"44"	0.128	-0.04
"45"	-0.1	0.033
"46"	0.518	0.314
"47"	-0.836	-0.726
"48"	-0.133	-0.18
"49"	0.291	0.382
"50"	-0.22	-0.375
"51"	-0.257	-0.32
"52"	0.282	0.047
"53"	0.105	0.012
"54"	0.045	-0.033
"55"	-0.286	-0.52
"56"	-0.372	-0.199
"57"	-0.147	-0.275
"58"	0.593	0.477
"59"	-0.029	-0.15
"60"	0.28	0.424
"61"	0.34	-0.005
"62"	0.081	-0.113
"63"	0.685	0.568
"64"	0.064	-0.064
"65"	0.041	0.01
"66"	0.002	-0.028
"67"	-0.135	0.331
"68"	0.209	0.063
"69"	-0.243	-0.104
"70"	-0.314	-0.128
"71"	-0.209	0.052
"72"	-0.136	-0.265
"73"	-0.222	-0.252
"74"	0.006	-0.104
"75"	-0.142	-0.222
"76"	-0.107	-0.128
"77"	-0.059	-0.102
"78"	0.349	0.255
"79"	0.012	-0.088
"80"	0.613	0.379
"81"	0.551	0.587
"82"	-0.171	0.02
"83"	-0.152	-0.437
"84"	-0.167	0.17
"85"	-0.06	-0.268
"86"	0.022	0.271
"87"	-0.201	-0.097
"88"	-0.563	-0.353
"89"	-0.008	0.089
"90"	0.074	0.095
"91"	0.019	-0.062
"92"	-0.562	-0.483
"93"	0.182	0.165
"94"	-0.075	0.065
"95"	0.345	0.134
"96"	0.054	-0.123
"97"	0.153	0.231
"98"	-0.181	-0.009
"99"	-0.137	-0.012
"100"	-0.546	-0.488
"101"	-0.653	-0.329
"102"	-0.158	-0.236
"103"	0.055	-0.058
"104"	0.398	0.518
"105"	-0.049	-0.301
"106"	0.01	-0.017
"107"	-0.089	0.037
"108"	-0.205	-0.354
"109"	0.069	-0.098
"110"	0.198	-0.096
"111"	-0.225	-0.315
"112"	0.568	0.581
"113"	0.265	0.134
"114"	-0.299	-0.41
"115"	-0.313	-0.416
"116"	-0.108	0.022
"117"	-0.291	-0.503
"118"	-0.042	-0.362
"119"	-0.392	-0.434
"120"	0.468	0.38
"121"	0.099	0.206
"122"	-0.659	-0.528
"123"	-0.361	-0.336
"124"	0.31	0.413
"125"	0.361	0.158
"126"	0.365	0.309
"127"	-0.082	-0.111
"128"	0.388	0.413
"129"	0.443	0.216
"130"	0.153	-0.267
"131"	-0.408	-0.485
"132"	0.506	0.381
"133"	0.377	0.396
"134"	-0.232	-0.014
"135"	0.411	0.322
"136"	0.348	0.389
"137"	0.125	0.421
"138"	-0.17	-0.207
"139"	0.009	0.171
"140"	-0.134	-0.044
"141"	-0.262	-0.585
"142"	0.299	0.288
"143"	0.123	0.077
"144"	0.59	0.71
"145"	-0.295	-0.159
"146"	-0.187	-0.293
"147"	-0.135	-0.045
"148"	-0.074	0.139
"149"	-0.353	-0.473
"150"	-0.433	-0.577
"151"	0.11	0.011
"152"	-0.003	0.01
"153"	0.187	0.092
"154"	-0.469	0.062
"155"	0.307	0.406
"156"	0.013	-0.183
"157"	-0.53	-0.616
"158"	-0.032	0.038
"159"	-0.082	0.188
"160"	-0.258	-0.165
"161"	-0.414	-0.326
"162"	-0.339	-0.324
"163"	0.504	0.362
"164"	0.206	-0.02
"165"	-0.107	-0.186
"166"	-0.151	-0.01
"167"	0.035	0.073
"168"	0.326	0.417
"169"	0.18	-0.096
"170"	-0.11	-0.204
"171"	0.28	0.399
"172"	-0.047	-0.343
"173"	-0.033	-0.1
"174"	0.666	0.739
"175"	0.216	0.27
"176"	-0.084	-0.122
