"V1"	"V2"
"1"	0.388	0.359
"2"	0.272	0.224
"3"	-0.193	-0.247
"4"	0.114	-0.233
"5"	-0.44	-0.375
"6"	-0.316	0.06
"7"	0.167	0.222
"8"	-0.418	-0.258
"9"	0.357	0.39
"10"	-0.524	-0.558
"11"	0.172	0.097
"12"	0.08	0.12
"13"	-0.24	-0.334
"14"	0.253	0.093
"15"	0.367	0.364
"16"	0.356	0.298
"17"	0.35	0.38
"18"	0.403	0.272
"19"	-0.55	-0.538
"20"	-0.286	-0.434
"21"	0.444	0.4
"22"	0.246	0.082
"23"	0.093	-0.192
"24"	-0.323	-0.254
"25"	-0.593	-0.643
"26"	0.534	0.447
"27"	-0.371	-0.564
"28"	-0.267	-0.351
"29"	0.391	0.34
"30"	-0.017	-0.023
"31"	0.115	0.168
"32"	-0.202	-0.336
"33"	-0.012	-0.03
"34"	0.633	0.603
"35"	0.299	0.277
"36"	-0.037	-0.077
"37"	0.184	0.267
"38"	-0.423	-0.447
"39"	0.149	0.173
"40"	-0.073	0.064
"41"	0.665	0.6
"42"	-0.511	-0.524
"43"	0.255	0.457
"44"	-0.313	-0.333
"45"	-0.385	-0.276
"46"	-0.34	-0.256
"47"	-0.435	-0.3
"48"	-0.129	-0.055
"49"	-0.164	0.043
"50"	-0.788	-0.744
"51"	-0.468	-0.532
"52"	0.231	0.096
"53"	0.318	0.375
"54"	-0.079	-0.231
"55"	0.214	0.111
"56"	0.205	0.164
"57"	0.566	0.433
"58"	0.459	0.552
"59"	0.018	0.055
"60"	0.426	-0.067
"61"	0.264	-0.223
"62"	0.581	0.657
"63"	-0.042	-0.011
"64"	0.004	0.134
"65"	-0.055	-0.283
"66"	0.342	0.37
"67"	0.164	0.15
"68"	-0.639	-0.624
"69"	-0.4	-0.414
"70"	0.509	0.414
"71"	0.028	0.034
"72"	0.489	0.009
"73"	0.409	0.384
"74"	-0.34	-0.254
"75"	-0.097	-0.118
"76"	0.308	0.194
"77"	-0.371	-0.416
"78"	-0.135	0.017
"79"	0.242	0.048
"80"	-0.171	-0.234
"81"	0.198	-0.028
"82"	-0.525	-0.622
"83"	0.358	0.33
"84"	0.108	0.003
"85"	0.289	0.188
"86"	-0.08	-0.067
"87"	-0.363	-0.223
"88"	0.098	0.076
"89"	-0.374	-0.301
"90"	-0.104	0.016
"91"	0.245	0.562
"92"	-0.621	-0.43
"93"	-0.094	-0.038
"94"	-0.447	-0.404
"95"	-0.273	-0.077
"96"	-0.594	-0.361
"97"	-0.144	-0.465
"98"	-0.089	-0.036
"99"	-0.377	-0.26
"100"	-0.112	-0.223
"101"	0.042	-0.097
"102"	0.29	0.346
"103"	0.359	0.155
"104"	0.03	0.008
"105"	-0.108	-0.127
"106"	0.282	0.244
"107"	0.189	0.141
"108"	0.571	0.371
"109"	0.073	-0.177
"110"	-0.111	-0.264
"111"	0.205	0.028
"112"	0.525	0.522
"113"	-0.272	-0.255
"114"	0.039	0.082
"115"	-0.195	-0.116
"116"	0.35	0.408
"117"	0.75	0.609
"118"	-0.103	-0.152
"119"	-0.703	-0.567
"120"	-0.245	-0.283
"121"	0.26	0.345
"122"	-0.436	-0.296
"123"	-0.174	-0.011
"124"	-0.551	-0.436
"125"	0.204	0.442
"126"	0.299	0.186
"127"	0.095	-0.426
"128"	0.001	-0.075
"129"	0.254	0.38
"130"	-0.071	0.077
"131"	0.193	0.092
"132"	0.028	-0.389
"133"	0.331	0.415
"134"	-0.001	-0.091
"135"	0.037	0.206
"136"	0.504	0.545
