"V1"	"V2"
"257"	0.324	0.364
"258"	-0.155	0.081
"259"	0.265	0.292
"260"	0.118	0.068
"261"	0.143	0.162
"262"	0.427	0.506
"263"	0.552	0.291
"264"	0.354	0.138
"265"	0.196	-0.007
"266"	0.44	0.423
"267"	0.241	0.386
"268"	0.177	-0.035
"269"	0.692	0.515
"270"	0.434	0.555
"271"	0.257	0.291
"272"	0.814	0.537
"273"	0.4	0.314
"274"	0.19	0.122
"275"	0.408	0.318
"276"	0.341	0.425
"277"	0.26	0.138
"278"	0.8	0.674
"279"	0.016	-0.152
"280"	0.559	0.398
"281"	0.066	0.266
"282"	0.59	0.423
"283"	-0.266	-0.25
"284"	0.52	0.188
"285"	0.571	0.476
"286"	-0.26	-0.159
"287"	0.571	0.608
"288"	-0.053	-0.286
"289"	0.038	-0.028
"290"	-0.101	-0.349
"291"	0.121	0.273
"292"	0.034	-0.106
"293"	-0.584	-0.598
"294"	0.253	0.034
"295"	0.039	0.113
"296"	-0.001	-0.248
"297"	-0.093	-0.235
"298"	-0.652	-0.466
"299"	-0.182	-0.236
"300"	0.522	0.471
"301"	0.13	0.285
"302"	0.562	0.407
"303"	0.551	0.485
"304"	0.22	0.11
"305"	-0.053	0.255
"306"	0.147	-0.048
"307"	0.28	0.173
"308"	0.584	0.545
"309"	0.004	0.104
"310"	0.448	0.197
"311"	0.254	0.056
"312"	0.55	0.115
"313"	0.747	0.535
"314"	0.82	0.675
"315"	-0.252	-0.022
"316"	0.023	-0.18
"317"	-0.143	-0.452
"318"	-0.091	0.1
"319"	-0.337	-0.092
"320"	0.134	-0.042
"321"	0.329	0.232
"322"	0.336	0.139
"323"	-0.129	-0.066
"324"	0.75	0.715
"325"	0.43	0.098
"326"	0.675	0.665
"327"	0.482	0.304
"328"	0.457	0.41
"329"	0.64	0.499
"330"	0.523	0.415
"331"	-0.144	-0.248
"332"	0.56	0.539
"333"	0.136	0.078
"334"	-0.028	0.048
"335"	-0.024	-0.123
"336"	-0.156	-0.088
"337"	0.144	0.156
"338"	-0.263	-0.325
"339"	-0.029	0.124
"340"	0.123	0.128
"341"	0.052	-0.252
"342"	0.732	0.606
"343"	0.536	0.453
"344"	-0.287	-0.152
"345"	0.58	0.608
"346"	-0.319	-0.42
"347"	0.207	0.217
"348"	0.29	0.224
"349"	0.562	0.497
"350"	0.681	0.616
"351"	-0.252	-0.208
"352"	0.053	0.12
"353"	0.647	0.676
"354"	-0.205	-0.321
"355"	-0.228	-0.33
"356"	0.119	0.217
"357"	-0.144	-0.075
"358"	-0.074	-0.174
"359"	-0.149	-0.183
"360"	0.524	-0.104
"361"	0.582	0.435
"362"	0.486	0.348
"363"	0.381	0.376
"364"	0.195	0.097
"365"	0.448	0.587
"366"	0.529	0.592
"367"	-0.125	0.08
"368"	0.156	-0.002
"369"	-0.131	0.015
"370"	0.627	0.494
"371"	0.233	0.229
"372"	-0.342	-0.309
"373"	0.052	-0.043
"374"	0.322	0.518
"375"	0.545	0.327
"376"	0.692	0.692
"377"	0.14	0.133
"378"	0.401	0.32
"379"	0.83	0.733
"380"	-0.373	-0.316
"381"	-0.205	-0.098
"382"	-0.048	0.037
"383"	0.166	0.186
"384"	0.718	0.531
"385"	-0.247	-0.077
"386"	0.187	0.023
"387"	0.458	0.349
"388"	0.464	0.31
"389"	-0.519	-0.708
"390"	0.058	-0.259
"391"	0.423	0.42
"392"	0.121	-0.029
"393"	0.419	0.29
"394"	-0.005	-0.029
"395"	0.472	0.199
"396"	0.265	0.048
"397"	0.821	0.626
"398"	0.43	0.404
"399"	0.108	-0.128
"400"	0.488	0.573
"401"	0.408	0.332
"402"	0.823	0.658
"403"	-0.117	0.245
"404"	0.273	0.128
"405"	0.336	0.21
"406"	0.603	0.619
"407"	0.442	0.508
"408"	-0.192	0.036
"409"	0.232	0.123
"410"	0.668	0.553
"411"	0.239	-0.163
"412"	0.159	0.099
"413"	0.394	0.095
"414"	0.684	0.768
"415"	0.567	0.573
"416"	-0.182	-0.074
"417"	0.745	0.61
"418"	-0.273	-0.334
"419"	0.503	0.156
"420"	0.589	0.43
"421"	-0.085	-0.251
"422"	0.739	0.481
"423"	0.789	0.696
"424"	0.211	0.378
"425"	0.648	0.387
"426"	0.673	0.523
"427"	0.135	-0.004
"428"	0.21	0.05
"429"	-0.178	0.042
"430"	0.353	0.305
"431"	0.583	0.444
"432"	0.849	0.567
"433"	-0.227	-0.213
"434"	0.012	0.124
"435"	0.578	0.594
"436"	-0.447	-0.449
"437"	0.835	0.788
"438"	-0.04	0.036
"439"	0.083	-0.127
"440"	0.428	0.227
"441"	-0.165	-0.607
"442"	0.372	0.261
"443"	0.303	0.155
"444"	0.779	0.586
"445"	-0.151	-0.343
"446"	0.39	0.374
"447"	0.537	0.42
"448"	0.665	0.589
"449"	0.463	0.342
"450"	0.624	0.618
"451"	-0.08	0.001
"452"	0.478	0.418
"453"	-0.4	-0.162
"454"	0.896	0.708
"455"	0.599	0.182
"456"	0.914	0.536
"457"	0.717	0.709
"458"	-0.144	0.008
"459"	0.543	0.44
"460"	0.92	0.815
"461"	0.765	0.683
"462"	0.31	0.233
"463"	0.03	-0.129
"464"	0.232	0.238
"465"	0.135	-0.147
"466"	-0.198	-0.05
"467"	-0.119	-0.512
"468"	0.267	0.267
"469"	0.563	0.447
"470"	0.174	0.186
"471"	0.63	0.775
"472"	0.766	0.159
"473"	0.644	0.024
"474"	0.105	0.021
"475"	0.725	0.59
"476"	0.627	0.225
"477"	-0.379	-0.419
"478"	0.839	0.723
"479"	0.255	0.234
"480"	0.224	0.291
"481"	0.836	0.638
"482"	0.472	0.444
"483"	-0.307	-0.357
"484"	0.146	-0.063
"485"	0.357	0.299
"486"	0.015	-0.006
"487"	-0.118	-0.201
"488"	0.599	0.552
"489"	0.297	0.115
"490"	0.594	0.627
"491"	0.712	0.641
"492"	0.879	0.791
"493"	0.334	0.685
"494"	0.083	0.082
"495"	0.286	0.346
"496"	0.269	0.158
"497"	0.556	0.551
"498"	0.58	0.478
"499"	-0.094	-0.064
"500"	0.414	0.363
