"V1"	"V2"
"1"	-0.355	-0.391
"2"	-0.504	-0.33
"3"	0.452	0.378
"4"	-0.213	-0.22
"5"	0.497	0.381
"6"	-0.084	0.048
"7"	0.591	0.58
"8"	0.279	0.225
"9"	0.454	0.33
"10"	0.088	0.07
"11"	0.11	-0.244
"12"	0.565	0.349
"13"	0.146	-0.049
"14"	-0.171	-0.178
"15"	-0.128	0.213
"16"	0.135	-0.136
"17"	0.14	0.154
"18"	0.092	0.046
"19"	0.225	0.358
"20"	-0.101	-0.1
"21"	0.102	0.098
"22"	0.44	0.52
"23"	-0.455	-0.332
"24"	0.181	0.117
"25"	-0.208	-0.054
"26"	0.002	-0.201
"27"	0.076	0.028
"28"	-0.124	-0.055
"29"	0.098	0.33
"30"	-0.089	-0.163
"31"	-0.187	0.059
"32"	-0.242	-0.355
"33"	-0.06	0.051
"34"	-0.109	0.064
"35"	0.567	0.518
"36"	-0.177	-0.556
"37"	0.054	0.18
"38"	-0.613	-0.672
"39"	-0.358	-0.384
"40"	-0.177	-0.316
"41"	0.487	0.35
"42"	0.143	0.157
"43"	-0.44	-0.294
"44"	0.124	-0.043
"45"	-0.05	0.121
"46"	0.49	0.231
"47"	-0.854	-0.782
"48"	-0.151	-0.188
"49"	0.294	0.384
"50"	-0.212	-0.374
"51"	-0.284	-0.391
"52"	0.276	0.035
"53"	0.099	0.006
"54"	0.055	-0.014
"55"	-0.228	-0.458
"56"	-0.294	-0.098
"57"	-0.066	-0.228
"58"	0.611	0.488
"59"	-0.027	-0.148
"60"	0.268	0.439
"61"	0.354	-0.014
"62"	0.067	-0.12
"63"	0.7	0.59
"64"	0.049	-0.064
"65"	0.051	-0.007
"66"	-0.054	-0.044
"67"	-0.095	0.326
"68"	0.202	0.063
"69"	-0.253	-0.119
"70"	-0.331	-0.137
"71"	-0.171	0.063
"72"	-0.153	-0.305
"73"	-0.219	-0.251
"74"	-0.056	-0.151
"75"	-0.112	-0.202
"76"	-0.112	-0.116
"77"	-0.091	-0.139
"78"	0.334	0.235
"79"	0.009	-0.088
"80"	0.6	0.405
"81"	0.552	0.596
"82"	-0.179	0.032
"83"	-0.147	-0.44
"84"	-0.174	0.126
"85"	-0.028	-0.277
"86"	0.5	0.587
