"V1"	"V2"
"1"	-0.466	-0.442
"2"	-0.378	-0.137
"3"	0.426	0.332
"4"	-0.302	-0.214
"5"	0.532	0.439
"6"	-0.027	0.066
"7"	0.676	0.625
"8"	0.284	0.224
"9"	0.475	0.335
"10"	0.085	0.067
"11"	0.181	0.043
"12"	0.585	0.371
"13"	0.125	-0.276
"14"	-0.194	-0.22
"15"	-0.152	0.212
"16"	0.117	-0.16
"17"	0.126	0.134
"18"	0.094	0.049
"19"	0.205	0.342
"20"	-0.144	-0.187
"21"	0.03	0.084
"22"	0.434	0.499
"23"	-0.468	-0.3
"24"	0.419	0.303
"25"	-0.277	-0.255
"26"	0.03	-0.161
"27"	0.075	0.092
"28"	-0.232	-0.12
"29"	-0.177	0.214
"30"	-0.157	-0.089
"31"	-0.217	0.07
"32"	-0.094	-0.244
"33"	-0.006	0.108
"34"	-0.08	0.081
"35"	0.46	0.431
"36"	-0.079	-0.374
"37"	0.059	0.229
"38"	-0.642	-0.678
"39"	-0.306	-0.342
"40"	-0.188	-0.306
"41"	0.587	0.392
"42"	0.201	0.149
"43"	-0.462	-0.294
"44"	0.144	-0.035
"45"	-0.119	-0.003
"46"	0.532	0.26
"47"	-0.837	-0.783
"48"	-0.124	-0.178
"49"	0.294	0.34
"50"	-0.226	-0.346
"51"	-0.285	-0.381
"52"	0.29	0.046
"53"	0.211	0.056
"54"	0.003	-0.07
"55"	-0.25	-0.478
"56"	-0.284	-0.058
"57"	0.05	-0.146
"58"	0.623	0.494
"59"	0.022	-0.104
"60"	0.267	0.455
"61"	0.265	-0.003
"62"	0.03	-0.209
"63"	0.661	0.536
"64"	0.26	0.054
"65"	0.05	-0.007
"66"	0.021	-0.007
"67"	-0.035	0.34
"68"	0.206	0.062
"69"	-0.268	-0.14
"70"	-0.282	-0.096
"71"	-0.211	0.058
"72"	-0.153	-0.273
"73"	-0.246	-0.266
"74"	-0.011	-0.077
"75"	-0.139	-0.221
"76"	-0.121	-0.137
"77"	-0.002	-0.058
"78"	0.367	0.287
"79"	0.023	-0.065
"80"	0.552	0.231
"81"	0.553	0.587
"82"	-0.096	0.029
"83"	-0.119	-0.438
"84"	-0.153	0.187
"85"	-0.069	-0.342
"86"	0.03	0.299
"87"	-0.199	-0.079
"88"	-0.58	-0.361
"89"	-0.031	0.071
"90"	0.075	0.082
"91"	0.045	-0.045
"92"	-0.548	-0.442
"93"	0.268	0.204
"94"	-0.071	0.069
"95"	0.384	0.056
"96"	0.052	-0.124
"97"	0.17	0.276
"98"	-0.208	-0.019
"99"	-0.129	-0.007
"100"	-0.579	-0.51
"101"	-0.641	-0.26
"102"	-0.152	-0.22
"103"	0.071	-0.039
"104"	0.574	0.596
"105"	-0.046	-0.324
"106"	0.031	0.018
"107"	-0.024	0.137
"108"	-0.179	-0.344
"109"	0.103	-0.107
"110"	0.184	-0.137
"111"	-0.198	-0.284
"112"	0.55	0.545
"113"	0.259	0.132
"114"	-0.303	-0.414
"115"	-0.289	-0.437
"116"	-0.117	-0.072
"117"	-0.3	-0.557
"118"	0.004	-0.316
"119"	-0.431	-0.457
"120"	0.589	0.497
"121"	0.103	0.218
"122"	-0.635	-0.557
"123"	-0.384	-0.347
"124"	0.277	0.378
"125"	0.38	0.19
"126"	0.307	0.155
"127"	-0.07	-0.116
"128"	0.376	0.383
"129"	0.441	0.273
"130"	0.169	-0.185
"131"	-0.331	-0.333
"132"	0.508	0.383
"133"	0.36	0.415
"134"	-0.232	-0.021
"135"	0.358	0.3
"136"	0.388	0.395
"137"	0.114	0.574
"138"	-0.252	-0.203
"139"	-0.019	0.106
"140"	-0.193	-0.147
"141"	-0.263	-0.549
"142"	0.309	0.307
"143"	-0.002	0.077
"144"	0.607	0.699
"145"	-0.283	-0.141
"146"	-0.197	-0.277
"147"	-0.155	-0.034
"148"	0.011	0.23
"149"	0.109	-0.13
"150"	0.137	-0.254
"151"	0.048	-0.037
"152"	0.009	0.039
"153"	0.188	0.138
"154"	-0.482	0.029
"155"	0.301	0.408
"156"	0.022	-0.189
"157"	-0.522	-0.567
"158"	0.107	0.146
"159"	-0.07	0.291
"160"	-0.288	-0.206
"161"	-0.272	-0.271
"162"	-0.365	-0.312
"163"	0.364	0.327
"164"	0.179	-0.074
"165"	0.129	-0.043
"166"	-0.106	0.051
"167"	0.125	0.136
"168"	0.34	0.402
"169"	0.147	-0.183
"170"	-0.12	-0.22
"171"	0.066	0.221
"172"	-0.127	-0.361
"173"	0.098	-0.111
"174"	0.562	0.652
"175"	0.328	0.265
"176"	-0.021	-0.112
"177"	0.337	0.525
"178"	0.067	0.004
"179"	-0.014	-0.157
"180"	-0.329	-0.342
"181"	0.263	0.25
"182"	0.061	0.009
"183"	-0.297	-0.085
"184"	0.13	0.247
"185"	-0.171	-0.171
"186"	-0.672	-0.573
"187"	0.106	0.038
"188"	0.031	-0.147
"189"	-0.467	-0.362
"190"	-0.221	-0.011
"191"	0.184	0.093
"192"	0.334	0.4
"193"	-0.265	-0.395
"194"	0.605	0.534
"195"	0.021	0.223
"196"	0.57	0.348
"197"	0.265	0.221
"198"	-0.283	-0.211
"199"	0.198	-0.024
"200"	-0.033	-0.014
"201"	0.047	-0.027
"202"	-0.588	-0.529
"203"	0.089	-0.048
"204"	-0.199	-0.477
"205"	0.504	0.529
"206"	-0.435	-0.326
"207"	0.443	0.625
"208"	-0.223	-0.391
"209"	0.411	0.338
"210"	0.21	0.395
"211"	0.278	0.334
"212"	-0.127	0.023
"213"	0.267	0.363
"214"	-0.034	-0.122
"215"	0.096	0.368
"216"	0.541	0.201
"217"	-0.174	-0.101
"218"	-0.177	-0.079
"219"	0.128	-0.062
"220"	-0.075	-0.129
"221"	0.284	0.384
"222"	-0.359	-0.3
"223"	0.253	0.348
"224"	0.053	-0.129
"225"	0.84	0.72
"226"	0.272	0.022
"227"	0.027	0.047
"228"	0.544	0.484
"229"	0.034	-0.258
"230"	0.355	0.359
"231"	-0.652	-0.646
"232"	0.194	-0.07
"233"	-0.053	0.366
"234"	0.157	0.239
"235"	0.449	0.248
"236"	0.537	0.458
"237"	0.057	0.114
"238"	-0.383	-0.476
"239"	-0.304	-0.391
"240"	-0.297	-0.356
"241"	0.129	-0.042
"242"	-0.141	-0.1
"243"	0.107	-0.331
"244"	0.363	-0.083
"245"	0.499	0.259
"246"	-0.542	-0.328
"247"	0.251	0.039
"248"	-0.211	-0.311
"249"	0.305	0.29
"250"	-0.472	-0.695
"251"	-0.075	-0.113
"252"	0.192	0.047
"253"	0.145	0.227
"254"	0.034	-0.217
"255"	0.482	-0.196
"256"	-0.183	-0.257
"257"	-0.156	0.024
"258"	-0.26	-0.082
"259"	-0.275	-0.011
"260"	0.047	0.084
"261"	-0.197	-0.013
"262"	-0.283	-0.157
"263"	0.458	0.442
"264"	0.273	-0.119
"265"	-0.048	-0.307
"266"	0.431	0.426
"267"	0.302	0.336
"268"	0.03	-0.169
"269"	-0.088	0.002
"270"	-0.111	0.361
"271"	-0.392	-0.169
"272"	0.204	0.281
"273"	0.319	0.278
"274"	0.081	0.105
"275"	0.32	0.22
"276"	0.168	0.284
"277"	-0.411	-0.411
"278"	0.363	0.436
"279"	-0.225	-0.404
"280"	0.38	0.269
"281"	-0.331	-0.173
"282"	0.546	0.308
"283"	-0.262	-0.261
"284"	-0.145	-0.175
"285"	-0.081	-0.185
"286"	-0.356	-0.282
"287"	0.464	0.488
"288"	-0.106	-0.372
"289"	-0.168	-0.204
"290"	-0.24	-0.311
"291"	0.374	0.397
"292"	-0.141	-0.235
"293"	-0.641	-0.585
"294"	-0.036	-0.231
"295"	-0.097	0.017
"296"	-0.208	-0.316
"297"	-0.128	-0.197
"298"	-0.608	-0.491
"299"	-0.212	-0.231
"300"	0.094	-0.146
"301"	0.057	0.154
"302"	0.204	0.243
"303"	0.053	0.083
"304"	0.082	-0.032
"305"	-0.101	0.167
"306"	0.048	-0.174
"307"	0.121	0.035
"308"	0.021	0.205
"309"	-0.283	-0.211
"310"	-0.597	-0.612
"311"	0.216	-0.039
"312"	-0.035	-0.343
"313"	0.801	0.531
"314"	0.527	0.497
"315"	-0.607	-0.404
"316"	-0.137	-0.363
"317"	-0.489	-0.57
"318"	-0.377	-0.223
"319"	-0.518	-0.295
"320"	-0.293	-0.454
"321"	0.289	0.194
"322"	0.278	0.209
"323"	-0.287	-0.216
"324"	0.035	0.081
"325"	0.035	-0.129
"326"	0.266	0.429
"327"	0.529	0.245
"328"	0.478	0.465
"329"	0.333	0.157
"330"	-0.32	-0.224
"331"	-0.365	-0.38
"332"	0.547	0.542
"333"	-0.172	-0.023
"334"	-0.181	-0.151
"335"	-0.203	-0.248
"336"	-0.193	0
"337"	0.05	0.078
"338"	-0.401	-0.391
"339"	-0.507	-0.168
"340"	-0.211	-0.257
"341"	-0.241	-0.415
"342"	0.316	0.109
"343"	-0.155	-0.135
"344"	-0.499	-0.331
"345"	0.392	0.471
"346"	-0.405	-0.593
"347"	-0.225	0.205
"348"	0.005	0.003
"349"	-0.347	-0.279
"350"	0.426	0.414
"351"	-0.23	-0.247
"352"	-0.369	-0.288
"353"	-0.038	0.09
"354"	-0.378	-0.391
"355"	-0.239	-0.296
"356"	-0.127	-0.063
"357"	-0.228	-0.173
"358"	-0.222	-0.244
"359"	-0.421	-0.443
"360"	-0.703	-0.705
"361"	0.293	0.165
"362"	0.538	0.388
"363"	0.227	0.098
"364"	-0.13	-0.223
"365"	-0.274	-0.152
"366"	0.339	0.441
"367"	-0.392	-0.097
"368"	-0.016	-0.117
"369"	-0.823	-0.696
"370"	0.494	0.09
"371"	0.228	0.1
"372"	-0.351	-0.369
"373"	-0.012	-0.136
"374"	0.107	0.435
"375"	-0.577	-0.62
"376"	0.418	0.346
"377"	-0.305	-0.152
"378"	0.187	0.161
"379"	0.77	0.752
"380"	-0.3	-0.457
"381"	-0.573	-0.435
"382"	-0.277	-0.107
"383"	-0.086	-0.014
"384"	0.631	0.449
"385"	-0.36	-0.193
"386"	-0.163	-0.107
"387"	-0.015	-0.005
"388"	0.295	0.227
"389"	-0.664	-0.734
"390"	-0.156	-0.407
"391"	0.043	0.093
"392"	-0.054	-0.115
"393"	0.4	0.315
"394"	-0.15	-0.086
"395"	0.478	-0.021
"396"	-0.09	-0.446
"397"	0.266	0.144
"398"	0.24	0.135
"399"	0.012	-0.154
"400"	0.296	0.337
"401"	0.029	-0.015
"402"	0.583	0.372
"403"	-0.374	0.153
"404"	0.022	-0.029
"405"	0.228	0.052
"406"	0.39	0.397
"407"	0.134	0.263
"408"	-0.215	-0.035
"409"	-0.542	-0.554
"410"	0.068	-0.141
"411"	-0.004	-0.348
"412"	0.001	-0.042
"413"	0.102	-0.019
"414"	0.455	0.689
"415"	0.439	0.488
"416"	-0.263	-0.21
"417"	-0.195	-0.084
"418"	-0.323	-0.512
"419"	0.084	-0.215
"420"	0.269	0.091
"421"	-0.392	-0.407
"422"	0.082	0.123
"423"	-0.314	-0.284
"424"	-0.281	-0.203
"425"	0.29	-0.017
"426"	-0.445	-0.345
"427"	-0.128	-0.196
"428"	-0.094	-0.236
"429"	-0.37	-0.281
"430"	0.136	0.086
"431"	0.579	0.446
"432"	0.445	0.443
"433"	-0.261	-0.252
"434"	-0.373	-0.343
"435"	-0.376	-0.307
"436"	-0.462	-0.483
"437"	0.329	0.362
"438"	-0.126	-0.081
"439"	-0.224	-0.324
"440"	-0.017	-0.286
"441"	-0.379	-0.688
"442"	0.312	0.21
"443"	0.105	0.015
"444"	0.744	0.537
"445"	-0.363	-0.463
"446"	-0.188	-0.106
"447"	0.337	0.183
"448"	0.279	0.332
"449"	0.279	0.222
"450"	0.362	0.49
"451"	-0.155	-0.083
"452"	0.182	0.268
"453"	-0.304	-0.193
"454"	0.251	0.208
"455"	-0.267	-0.575
"456"	0.415	0.261
"457"	0.582	0.472
"458"	-0.348	-0.262
"459"	0.318	0.323
"460"	0.631	0.572
"461"	0.53	0.405
