0,0.0001,0.01,0.0001,0.99
4,0.0001,0.00052976,7.1806e-07,0.99
8,0.0001,0.052893,0.0019373,0.98894
12,0.0001,0.038756,0,0.99745
16,0.0001,0.0014937,2.4222e-06,0.99763
20,0.0001,0.026917,0,0.99452
24,0.0001,0.061685,3.9872e-05,0.98446
28,0.0001,0.04242,5.3156e-06,0.99469
32,0.0001,0.052599,1.1438e-05,0.9869
36,0.0001,0.037157,7.0249e-07,0.98075
40,0.0001,0.0029306,1.5126e-06,0.98809
44,0.0001,0.022881,6.9624e-06,0.99034
48,0.0001,0.046227,5.3238e-06,0.98466
52,0.0001,0.046742,1.5144e-07,0.97343
56,0.0001,0.045861,0.00012557,0.99679
60,0.0001,0.072098,0.0021442,0.98253
64,0.0001,0.020305,4.8148e-06,0.98705
68,0.0001,0.0059928,2.0186e-06,0.98886
72,0.0001,0.0065048,9.912e-08,0.99164
76,0.0001,0.079069,0.00029745,0.98533
80,0.0001,0.034556,3.1216e-06,0.97115
84,0.0001,0.058569,5.1459e-07,0.99216
88,0.0001,0.029645,1.2363e-06,0.99167
92,0.0001,0.0068321,5.8584e-07,0.9958
96,0.0001,0.0075271,1.5774e-06,0.99046
100,0.0001,0.080086,4.9151e-05,0.98359
104,0.0001,0.027662,5.8378e-06,0.99952
108,0.0001,0.0114,4.2005e-06,0.98867
112,0.0001,0.030773,1.9362e-06,0.97489
116,0.0001,0.034594,2.0833e-06,0.99952
120,0.0001,0.040729,1.019e-06,0.99883
124,0.0001,0.0023936,3.4169e-06,0.9915
128,0.0001,0.029363,1.0556e-06,0.97296
132,0.0001,0.023519,1.4627e-06,0.98827
136,0.0001,0.01636,2.0395e-06,0.98837
140,0.0001,0.011864,3.4772e-06,0.96706
144,0.0001,0.011491,2.9129e-07,0.97848
148,0.0001,0.079001,2.7127e-05,0.99098
152,0.0001,0.041874,4.9223e-07,0.9609
156,0.0001,0.048926,0.0031211,0.99585
160,0.0001,0.049435,1.3291e-05,0.98606
164,0.0001,0.00018766,9.251e-07,0.98659
168,0.0001,0.0086415,3.4911e-06,0.97933
172,0.0001,0.019287,1.2907e-06,0.97898
176,0.0001,0.050146,5.3379e-07,0.99351
180,0.0001,0.032542,3.6733e-06,0.99042
184,0.0001,0.049441,2.1681e-06,0.97581
188,0.0001,0.028095,5.3756e-07,0.99399
192,0.0001,0.015849,2.8662e-06,0.97229
