19.75,0.48201,0.64351,0.55559,0.69206,0.62907,0.3232,0.57926,0.71971,0.73977,0.70526,1.7654e-05,2.5224e-05,2.2176e-05,3.4316e-05,2.6584e-05,1.2102e-05,1.6517e-05,4.3016e-05,3.2376e-05,3.9227e-05,0.66026,0.65478,0.61199,0.49033,0.47779,0.61836,0.59482,0.5531,0.72203,0.61897
20,0.48966,0.64913,0.57857,0.68734,0.64253,0.31007,0.61166,0.71889,0.74041,0.70093,1.7802e-05,2.5814e-05,2.2566e-05,3.4322e-05,2.6747e-05,1.2114e-05,1.608e-05,4.3133e-05,3.254e-05,3.926e-05,0.67549,0.66927,0.62734,0.49316,0.48341,0.62384,0.59442,0.55632,0.73199,0.61991
20.25,0.49667,0.64231,0.54882,0.68819,0.62634,0.29692,0.60142,0.72506,0.7408,0.69789,1.7833e-05,2.5826e-05,2.2116e-05,3.431e-05,2.6715e-05,1.2233e-05,1.6199e-05,4.304e-05,3.2916e-05,3.9324e-05,0.68373,0.67359,0.61164,0.49983,0.48568,0.63134,0.58723,0.56564,0.74426,0.61454
20.5,0.4878,0.67213,0.55916,0.68085,0.63291,0.2774,0.59254,0.73471,0.74275,0.68107,1.7687e-05,2.6329e-05,2.1788e-05,3.4289e-05,2.6571e-05,1.1364e-05,1.6014e-05,4.3054e-05,3.2852e-05,3.8839e-05,0.67252,0.68926,0.60198,0.50537,0.48413,0.62308,0.5781,0.5728,0.75429,0.61074
20.75,0.46888,0.67353,0.56115,0.69772,0.63399,0.23559,0.5948,0.73624,0.73772,0.67068,1.7923e-05,2.6779e-05,2.1797e-05,3.3517e-05,2.666e-05,1.1225e-05,1.5966e-05,4.3114e-05,3.2624e-05,3.8404e-05,0.68222,0.69277,0.60552,0.50974,0.48723,0.64015,0.57065,0.57428,0.75489,0.60733
21,0.48852,0.65935,0.56412,0.68706,0.63255,0.24983,0.5867,0.73293,0.74275,0.66557,1.8008e-05,2.669e-05,2.2095e-05,3.3865e-05,2.664e-05,1.1076e-05,1.5907e-05,4.3102e-05,3.2555e-05,3.7334e-05,0.6869,0.68184,0.61297,0.51323,0.491,0.65657,0.56745,0.57538,0.75315,0.59641
21.25,0.47444,0.66345,0.55071,0.68092,0.63466,0.25292,0.58117,0.73095,0.74523,0.67721,1.7883e-05,2.6932e-05,2.1998e-05,3.393e-05,2.6928e-05,1.109e-05,1.5881e-05,4.3059e-05,3.4286e-05,3.6878e-05,0.69037,0.68038,0.61088,0.51301,0.49484,0.66809,0.56725,0.57608,0.74919,0.58645
21.5,0.47877,0.65181,0.55216,0.67599,0.63273,0.24968,0.57834,0.74214,0.74833,0.6792,1.7648e-05,2.6934e-05,2.1842e-05,3.3393e-05,2.7047e-05,1.1102e-05,1.5744e-05,4.306e-05,3.5489e-05,3.7192e-05,0.6958,0.67264,0.60414,0.50581,0.49648,0.67326,0.56353,0.57672,0.74394,0.58906
21.75,0.48212,0.65106,0.55558,0.67366,0.65857,0.2543,0.58155,0.7393,0.77181,0.68045,1.7841e-05,2.6993e-05,2.2475e-05,3.3374e-05,2.8269e-05,1.1111e-05,1.5707e-05,4.2902e-05,3.7513e-05,3.6939e-05,0.70805,0.66278,0.60625,0.50066,0.50169,0.67915,0.56309,0.57435,0.74314,0.59317
22,0.48013,0.65526,0.53401,0.68225,0.69041,0.287,0.58402,0.73818,0.7606,0.68174,1.7854e-05,2.6967e-05,2.2048e-05,3.2591e-05,3.0254e-05,1.2487e-05,1.5697e-05,4.3162e-05,3.8145e-05,3.7378e-05,0.71096,0.65076,0.59568,0.49258,0.51619,0.70736,0.56345,0.57351,0.73999,0.59594
22.25,0.47894,0.66518,0.51842,0.68211,0.67598,0.3302,0.59358,0.74486,0.75268,0.66747,1.7878e-05,2.8195e-05,2.1849e-05,3.2621e-05,3.047e-05,1.3003e-05,1.5538e-05,4.4071e-05,3.8193e-05,3.7364e-05,0.71195,0.6499,0.59294,0.49511,0.516,0.7202,0.56477,0.57316,0.736,0.59967
