19.75,0.64147,3.0029e-05,0.61633,0.11551,1.2716e-05,0.091533
20,0.64233,3.0246e-05,0.62034,0.11696,1.2765e-05,0.092995
20.25,0.64187,3.0329e-05,0.6215,0.11885,1.2824e-05,0.09334
20.5,0.64232,3.0346e-05,0.62164,0.11876,1.2855e-05,0.093452
20.75,0.64234,3.0373e-05,0.62191,0.11893,1.2846e-05,0.093334
21,0.64267,3.0383e-05,0.62209,0.11791,1.2819e-05,0.093001
21.25,0.64305,3.0439e-05,0.62251,0.1182,1.2811e-05,0.092462
21.5,0.64331,3.0487e-05,0.62306,0.1186,1.2795e-05,0.092424
21.75,0.64356,3.0551e-05,0.62405,0.1181,1.2858e-05,0.092521
22,0.64351,3.0565e-05,0.62442,0.11731,1.2901e-05,0.091795
22.25,0.64293,3.0549e-05,0.62483,0.11839,1.2927e-05,0.091737
22.5,0.64331,3.0599e-05,0.62567,0.11893,1.2962e-05,0.09181
22.75,0.64324,3.0658e-05,0.62649,0.11988,1.2992e-05,0.091927
23,0.6427,3.0671e-05,0.62684,0.12009,1.2995e-05,0.092092
23.25,0.64319,3.0661e-05,0.62684,0.11952,1.3002e-05,0.092124
23.5,0.64382,3.0691e-05,0.62741,0.12041,1.296e-05,0.092587
23.75,0.64368,3.0753e-05,0.62856,0.11997,1.2941e-05,0.09318
24,0.64331,3.0711e-05,0.62878,0.12098,1.2913e-05,0.094055
24.25,0.64357,3.064e-05,0.62881,0.1216,1.2865e-05,0.094234
24.5,0.64372,3.065e-05,0.62969,0.12149,1.2903e-05,0.093882
24.75,0.64441,3.0633e-05,0.63005,0.12191,1.2883e-05,0.093108
25,0.64516,3.0624e-05,0.63015,0.12307,1.29e-05,0.092669
25.25,0.64435,3.0643e-05,0.63058,0.1236,1.2915e-05,0.092875
25.5,0.64471,3.065e-05,0.63099,0.1223,1.2896e-05,0.093524
25.75,0.64499,3.0683e-05,0.63132,0.12269,1.2877e-05,0.094271
26,0.64702,3.0724e-05,0.63152,0.12139,1.2877e-05,0.094338
