"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"
"1"	19.75	0.00555775706056893	0.00963161949837058	0.00534326358693763	0.0067694348014916	0.00947468598641344	0.00777678694410813	0.00526254450054849	0.00528193733487001	0.00669492230483085	0.00826248116009266	0.00902696164031377	0.00520388230044027	0.00737964957381301	0.00720536507213789	0.00835720238056653	0.00778568848426718	0.00581041120219624	0.00690538179404433	0.00400650344732382	0.00966887344945861	0.00785623441863252	0.00582768056294019	0.0104024669656538	0.00671346752332272	0.00580367691722185	0.00584383841772953	0.00720792366387879	0.00932090065916922	0.00791117299548916	0.00716998660027348	0.00528278545988666	0.0069921727022508	0.0098269861835932	0.0120380786951609	0.00906567826415875	0.00648171273661522	0.00768734570803279	0.010138957549466	0.0115142818718892	0.00902748218872358	0.00427190423848485	0.00629732046191076	0.00892540294449047	0.00826472524660673	0.00582416358829013	0.0112061376266013	0.0164288130840687	0.00862094891011189	0.00475418649452076	0.00966438715584705
"2"	20	0.0057445979563743	0.00976223078933177	0.00538166236934229	0.00677075227202369	0.00944993854962942	0.00785518884785356	0.00526608324744182	0.00527370269457423	0.00670901026015657	0.0084091260317044	0.00910461757845984	0.00524930138661026	0.00741574257316099	0.00726729221507161	0.00838943394765257	0.00784340897211139	0.00586874646439008	0.00690269703298022	0.00399332985002982	0.00956074992755355	0.00784125324905545	0.00584592398166167	0.0103761616979632	0.00672329592428022	0.00580751126461307	0.00585939241136653	0.00721552314721357	0.00931100072036067	0.00819601291517383	0.00731560914752607	0.00529968669810785	0.00699051634245835	0.00987931229269438	0.011985194217994	0.00910130536958187	0.00651391056664528	0.00770479945668422	0.0101719967973322	0.0115029950530231	0.00913666063609205	0.00429112776183073	0.00634881744071836	0.00900130231084032	0.00838210238800732	0.00582691354455309	0.0113234667214494	0.0163131723000312	0.00857219923630076	0.00480627147655322	0.00978650945647999
"3"	20.25	0.00571764454799485	0.00987637894233804	0.00538353217422224	0.00676787198011609	0.00941902449244297	0.00790596935885566	0.00529412741283124	0.00535901322274157	0.00665138302930538	0.00843260806146915	0.00916281206835543	0.00523541445290351	0.00746094972977658	0.00726753566676638	0.00839126657112748	0.00787987275808083	0.00590606913225173	0.00694303794700449	0.00373620802147669	0.00930077519567623	0.00776545742700537	0.00589380558620444	0.0103482555667763	0.00674515601038481	0.00583304445200909	0.00592902808517636	0.00718880194482355	0.00931246363598371	0.00847754902109468	0.00747779666894947	0.00522233212732599	0.0069621057077637	0.00991123962328897	0.0120362626038299	0.00920547577480416	0.00651335383868004	0.00770735736677066	0.0101949862887213	0.0114191466018229	0.00914054913367845	0.004181649756202	0.00642534380206099	0.00900633186546477	0.00845866021276045	0.00583832579608794	0.0112855328135661	0.0160716634901858	0.00847203482723743	0.00472221863084169	0.00980784211869852
"4"	20.5	0.00574642110828971	0.00987968987415565	0.0053313815389563	0.00676875041171382	0.00932333038977821	0.00791063290207505	0.00526220608788676	0.0054285257442817	0.00664139831528561	0.00845652918299138	0.00925320180986977	0.00522672741719625	0.00748734393763946	0.00728550003930991	0.00838931039244344	0.00789908999625826	0.00593712174544645	0.00695353615417856	0.00371855290138243	0.00921424227723967	0.00762901845138976	0.00583475693282847	0.0103629139753318	0.00675626974522577	0.0058349397063365	0.00591592495202353	0.00721353957144024	0.00932985341846947	0.00865675531838605	0.00753482286987423	0.00516839261885726	0.00698972250834544	0.00995364572545397	0.0120327424185328	0.0092493598743612	0.00651741678145295	0.00767045274520714	0.0102042521262313	0.0114320067565153	0.00913714216948147	0.00398869883768147	0.00647921049261366	0.00896842743013625	0.00846620197059827	0.00593452583604909	0.0112790539345385	0.0157771585169907	0.00842763568808828	0.00469518368731139	0.00981925365099906
"5"	20.75	0.00572180725189587	0.00985908216836292	0.00541175255896772	0.00677058064559318	0.00920716492806869	0.00790136816285235	0.00522370031682523	0.00544995589344596	0.00659275432250907	0.00843659345340887	0.00926606144397631	0.00528688788688403	0.00748660253914377	0.00726048422971911	0.00833011983441392	0.00797847451790826	0.00592942661512706	0.00695938520764258	0.00413737027216411	0.00918503278592303	0.00746589976094685	0.00584589038680652	0.0104929258387843	0.00676844708083589	0.00582304481230189	0.00585460683586281	0.00724811177506236	0.00933019730278308	0.00888613868315156	0.00749113097438007	0.00508230436497342	0.00699010640798384	0.0099874111615003	0.0119977502103836	0.00916551862047525	0.00651075514782553	0.00762407920981074	0.0102050600744639	0.0113008171290757	0.00913286493984739	0.00399179436033344	0.00652300130769009	0.00895214986908067	0.00843395689884167	0.00611929152094868	0.0112865563695728	0.0155506676435898	0.00841152712696065	0.00467321730547352	0.00994198397285249
"6"	21	0.00585273269507501	0.00981392278566721	0.00545825396196358	0.0067996529648974	0.00911661032301181	0.00782642197113426	0.00520702841560194	0.00540805792957327	0.00645939055400074	0.00842157476103468	0.00925998211903979	0.0053086207355512	0.00748644794176852	0.00719777064642108	0.00829013349436729	0.00801053969384766	0.00594931337251874	0.00704869426816598	0.00444586313187234	0.00914782522314955	0.00740407380061386	0.00587360109388836	0.0105667515748662	0.00679390232469295	0.00578957198194972	0.00584049459822528	0.00731541572834252	0.00930320195916642	0.00900357483064436	0.00744712033271922	0.00507413016178479	0.00696309584864867	0.00998912192831453	0.0119989670204131	0.00909318268685845	0.00652456980491744	0.00757833454095007	0.010208667141705	0.0113255473217004	0.00907327188623371	0.00399182737888111	0.00652806422545348	0.00898697913140049	0.0084861566711597	0.0062567805801265	0.0112604778316391	0.0153670626542698	0.00841046500016422	0.0046466387470482	0.0100392793369061
"7"	21.25	0.00582619910920719	0.00969097054534578	0.00542797302307597	0.00683807339136516	0.00905072230752743	0.00779089608274632	0.00516760778671735	0.00535104814055449	0.00612088780971469	0.00832629429251511	0.00925552506135618	0.00533513375201586	0.00759117799830163	0.00719787332230319	0.00827686906116656	0.0080104579745496	0.00592001614215854	0.00707191091483354	0.00462701038072005	0.00914065226929828	0.0074103035254035	0.00589633246742886	0.0105590468971675	0.00677637256753572	0.00574067300226963	0.00580834117449785	0.00728293598533282	0.00926846630134209	0.00901064026090224	0.00749785985393435	0.00502303226634412	0.00691679508789834	0.0100266890358758	0.0119468819511381	0.00899023667952059	0.00654323480828321	0.00741537974884768	0.0102128952978048	0.0115039932905816	0.00895785225781185	0.00399990154942135	0.00646726271993087	0.0091206301275762	0.00849567568333771	0.00636000977230361	0.0112703458889111	0.0153898474486809	0.00845661346693308	0.00499127334023714	0.010126908864443
"8"	21.5	0.00590876820973112	0.00963690704803837	0.00541972538744505	0.00685625743944532	0.00889060213446149	0.00773593647522613	0.00515760757387337	0.00535696322999033	0.00579328159556996	0.00823766398004321	0.00925552623068845	0.00538606134569783	0.00766543020562719	0.00726700382146171	0.00825486208760892	0.00799761956673217	0.00591877646760018	0.0070948131961296	0.00472868646626127	0.00909103062976868	0.00745618662079018	0.00589895946493848	0.0104942517531073	0.00672139629104443	0.00576481140798381	0.0058026947022019	0.00726221181915876	0.00920292992695839	0.00902402829633407	0.00758962846191257	0.00494335021307553	0.00682943531868864	0.010024385450244	0.0119394422298319	0.00901508175156176	0.00652513140538908	0.00727528393895421	0.010210062205361	0.0115431237675636	0.00893962190089786	0.00397137905295862	0.00649108110595228	0.00913935470882223	0.00841354773132091	0.00623473706469028	0.0113147693080182	0.0155238062974911	0.00844865791060961	0.00511943682468089	0.0102301488777108
"9"	21.75	0.00594828309980645	0.00956141035820421	0.00548964793319022	0.00685508092077546	0.00882685715299432	0.00750311993229179	0.00518284741640849	0.00535779989207738	0.00563751154816522	0.0081997626692654	0.00922666621088509	0.00538242074732791	0.00781372295643206	0.00717808196499611	0.00823456376281853	0.00792422663139415	0.0058600603625331	0.00710441346936331	0.00479129442619434	0.00905153551470968	0.00746189106987012	0.00592938500877439	0.0104729437054533	0.00669221746659903	0.00578494773123877	0.00579682840908978	0.00724880029794543	0.00922426063381268	0.00889846793455359	0.00757173992073256	0.0049696110944801	0.00682619435462312	0.0100496216559239	0.0119039316954579	0.00913561198351217	0.00646404454646888	0.00706854981277604	0.0102338911816745	0.0115453386505967	0.00893966872421647	0.00397277727043769	0.00651150518289247	0.00909053283798486	0.00832531215821038	0.00613468072477588	0.0113167988656888	0.0156722177587554	0.008454719118915	0.00544185243381263	0.0102551373695507
"10"	22	0.00622324528545288	0.00944979475281094	0.0055799901944018	0.00689925829690905	0.0087104257978077	0.00735471354823437	0.00516906223744278	0.00534120490690958	0.00564718889264743	0.00814541271848335	0.00922985611525054	0.00534465999765246	0.00789072744957931	0.00710065996999529	0.0082371406339084	0.00784614592864193	0.00565540946233859	0.00716320430738696	0.00484216179719897	0.00888369420018525	0.0074882519592401	0.00584398840608931	0.010363215005642	0.00677335090747724	0.00579551359521126	0.00571994757295395	0.0072236298205826	0.00924732322200062	0.00874037263855263	0.00758711907996337	0.00508487476041583	0.00681111721420915	0.0100987381214471	0.0118606921099044	0.00914513326944024	0.00645528810797488	0.00667842153217304	0.0102605807044438	0.0115544309757794	0.00894850520630207	0.00396120381906846	0.00649817335458223	0.00916548801590075	0.00833924653959225	0.00620002276435184	0.0113558400744933	0.0157623171041096	0.00840204985443011	0.00554120085777465	0.0102648915281869
