"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"
"1"	19.75	0.00527683567866744	0.00784354787400642	0.00500933088320748	0.00665613014036276	0.00616187265859495	0.00597941329453643	0.00444006168763727	0.00505338463954136	0.00422145530126432	0.00618340715225527	0.00727204942055162	0.00506216941954408	0.0067375790489614	0.00632429111799782	0.00627582725914247	0.0067246944448541	0.00513849359966694	0.00578643552221214	0.00409130200207878	0.00734645568031876	0.00668916119819351	0.00499588468122747	0.00686665390306629	0.00602144130125536	0.00565076577804823	0.00498119265736807	0.00690651913436413	0.00842758166157468	0.00655002213179897	0.0053935529533185	0.00491496216672578	0.0063318843188142	0.0089706241292862	0.00734112724339502	0.0069977868961791	0.00575246435129105	0.00622511629364313	0.00833344623779802	0.00648255711178919	0.0065786459845615	0.00406352681998594	0.0051081013167652	0.00733688202439138	0.00733626874136557	0.00537612012460009	0.00837388441496995	0.00894004343271953	0.00768591354385317	0.00428720872996076	0.00635292821016952
"2"	20	0.00528387266750422	0.00792701219854651	0.00501563211527772	0.00666539837950504	0.00614431909934003	0.0059334583107214	0.00443856022059786	0.0050208256252463	0.00417727694419841	0.0062244521798995	0.0072969829836516	0.00512329993519911	0.00677542098594021	0.00646871376664894	0.00633576010964492	0.006748119065228	0.00515721341494757	0.00579024443807913	0.00414742050111343	0.00731452543501911	0.00669645333436871	0.00497707581184748	0.00687838443508902	0.00605662505546905	0.00565130409098053	0.00498410245598082	0.00690254604074564	0.00841974372866641	0.00677715855067089	0.00543265686008693	0.00493642501370362	0.00631217759125604	0.00899623218193688	0.00733784602501953	0.00687187417031206	0.00576273662151026	0.00613873646766265	0.00835999057974038	0.00659018821864435	0.00661658641106925	0.00407042246654622	0.00511862279546209	0.00732563701641861	0.00740366299731151	0.00541368967847757	0.00839629064746469	0.00897664500305591	0.00759783350149018	0.00438728989073883	0.00648300012628515
"3"	20.25	0.00515930834721447	0.00801912612208431	0.00500981049214624	0.00665573000992359	0.00614081816296081	0.00585993974238451	0.00443052327303625	0.00508224007229651	0.00418390037899398	0.00620090515463749	0.00730301140693085	0.00511989051916952	0.00682924839434884	0.00648137636860583	0.00631741779366278	0.00674007856979389	0.00516705384698229	0.00576383959458042	0.00393242906644309	0.00722788449895114	0.00666974610292843	0.00500824084271912	0.00694635168461279	0.00611744931002498	0.00568213215840869	0.00498741230687205	0.00690920665959335	0.00845466818797803	0.00700805548739399	0.00550498255762947	0.00490825511044134	0.00627644672311112	0.009004195892265	0.00738222842855841	0.00686851950868121	0.00573365225537765	0.00617041885976941	0.00837082594462065	0.00666084687031067	0.00660596421491892	0.00393159579415103	0.00513908285069207	0.0073065832563243	0.00742353139338674	0.00540078185958162	0.00824078853246079	0.00889240666035344	0.00742753441700222	0.00435168669473514	0.00651847277305278
"4"	20.5	0.00506734999593231	0.00805757370780478	0.00499412996227089	0.00666946674913613	0.00613963628802534	0.00582733292148603	0.00443196771365542	0.00516900699950108	0.00422189280969243	0.00621583152113682	0.00733698108147474	0.00511480073941772	0.00684518312983198	0.006481036046476	0.0062854724274512	0.00672230636858191	0.00517410176672774	0.0057664681239313	0.0037967018095632	0.00726388114951909	0.00660311613400038	0.00500855971618141	0.00698079358980462	0.0060979285662218	0.00568598318806195	0.00490231522015492	0.00695220385348981	0.00845421136315047	0.00714281900579264	0.00551896049600076	0.00488427536051873	0.00635881149987414	0.00900577376126988	0.00735719387752047	0.00687269389881348	0.00573352145438408	0.0061703376079755	0.0083810641195722	0.0068125194774245	0.00661024255640545	0.00372797388423875	0.00514625354321511	0.0073089833705314	0.00738977294796397	0.00546390082750793	0.00814725952357787	0.00875839950898698	0.00726061722270801	0.00433026206871963	0.00653507294189703
"5"	20.75	0.00501876671986874	0.00808377763257961	0.00509693522090641	0.00666840200854612	0.00614317274215124	0.00587044813813027	0.00443852194377292	0.00518728120585577	0.00425464332679269	0.00621506366515376	0.00733590159499658	0.00516515149026578	0.00682995913274042	0.00646496778238733	0.00624380033485751	0.00675474960893062	0.00517211062947035	0.00573384599542994	0.00400782331478767	0.00730251847922125	0.00651326715414087	0.00500897885498847	0.0071801117491515	0.00614144166060623	0.00566399699606415	0.00477008184473938	0.00699551705318303	0.0084365226311423	0.00734751047089643	0.00553577947172661	0.00483166498222751	0.00637737810058287	0.00901410385487511	0.00735714438968451	0.00688101696494925	0.00573536835737139	0.00617107045777588	0.00837507487342716	0.00683307337530145	0.00659611444406085	0.00376092246012307	0.00512922384982365	0.00731319487370135	0.0073659445335096	0.00559566366202203	0.00804369676765741	0.00868040120877494	0.0071720150676893	0.00433521157382321	0.00657393844813221
"6"	21	0.00491649093962662	0.00807987444620592	0.00516141848324324	0.00667524833990512	0.00615021139738357	0.00588210116402438	0.00443753775282829	0.0051684747363443	0.00434282240969496	0.00621120639274496	0.00733675086543372	0.00518292689843954	0.00682043458828315	0.0064180412278982	0.00623032441770689	0.00673897526059491	0.00517462634940496	0.00579809282351956	0.00414817963728164	0.00732069781471194	0.00649762509144498	0.00504740558447719	0.00741689255949282	0.00622549736702407	0.00561211947519148	0.00471694026073851	0.0070702419570789	0.00842675381799499	0.00746776172783978	0.00565100652854536	0.00491318414707918	0.00637423148393624	0.00900774841282532	0.007429943780504	0.00688606162199014	0.00579075432725735	0.00618737945415293	0.00831580933964238	0.00692456622226861	0.00659710853195221	0.00376902935886141	0.0051256005365108	0.00728318336015851	0.00737984392805672	0.00565803473159866	0.00791550257572457	0.00863184225624718	0.00716411039682948	0.00431703749184495	0.00656020645225631
"7"	21.25	0.00495079326854085	0.00803535611291298	0.00516940189537109	0.00668754810388781	0.00616561798034099	0.00597258518932112	0.00444738407174998	0.00514143333973742	0.00417400538480875	0.00619467785028038	0.00734306124285011	0.00517157943368779	0.00693369589633421	0.00641849129811173	0.00622718452871333	0.00677293454448345	0.00515703427718509	0.00581115382263461	0.00420679761134069	0.00733193265575931	0.00650128512837112	0.00508212820628362	0.00748525690763255	0.0062566226935862	0.00553288487418183	0.00471760317117562	0.0070763595585566	0.00844623365824798	0.00750624342579956	0.00593553971505384	0.00490472354367835	0.00640651446083701	0.0090120821133966	0.00743549972324842	0.00686974843138245	0.0058494861916862	0.00615655052395071	0.00829843200236778	0.00718049777929251	0.00659235417547722	0.00379985622688844	0.0050621576573136	0.00739680548110657	0.00736175359908716	0.00570192437059428	0.00788715692593658	0.00873631229183045	0.0071623226949395	0.00453672866308888	0.00660771842621728
"8"	21.5	0.00495980415329256	0.00805108918142085	0.00516953677886639	0.00668388798842619	0.006150637435425	0.0060403624829505	0.00444596592655219	0.0051535780784016	0.00400670102040347	0.0061827898077897	0.00736056700640873	0.00519330694479193	0.00701540936574026	0.00647715022906518	0.00622655407632709	0.00673387219676736	0.0051637745328633	0.00581839931428869	0.00421893790774504	0.00733802870348955	0.00654598645304998	0.0050861082548505	0.00752512430349619	0.00623234874587807	0.0055511166212192	0.00471768667847428	0.00707266403315527	0.00840571864471002	0.00756238391604655	0.00621093835490192	0.00487956197278385	0.0064312154483237	0.00901786769206847	0.00749834301319597	0.00687409442014253	0.00582098274574823	0.00613858008574425	0.00825209335108205	0.0073033754332	0.0065866096565282	0.00376029391326001	0.00506377724733671	0.00739659894979123	0.00727917457827481	0.00562522618833782	0.00789852833775443	0.00887444124045962	0.00717238418850904	0.00456473882100935	0.00661543342538515
"9"	21.75	0.00496454883811294	0.00804070524776658	0.00522503435069233	0.00667280412116928	0.00617553787037436	0.00594764704166674	0.00447250674078095	0.00515785429748999	0.00397299266031645	0.00618355962595223	0.00732492374221321	0.005163887667313	0.00717079665265819	0.00641389532085666	0.00621609937840475	0.00662228484934152	0.00509921364529454	0.00582260290128928	0.00420075956432845	0.00734826816437764	0.00655394650328638	0.00513653412690259	0.00758155737487813	0.00621325965036564	0.00557598262478447	0.00471920710082801	0.00707568162574642	0.00840410431468552	0.00752187488400423	0.00627853449007926	0.00487356678114392	0.00649138983786975	0.00901877983656377	0.00751940142333837	0.00687329874971446	0.00573866552071015	0.00607182727563643	0.00827152500992025	0.00733363345381146	0.00652011054220192	0.00375183876302754	0.00506721599301441	0.00740883048932471	0.00716171773398792	0.00558334038402986	0.00782414801291679	0.00905313331908559	0.00716070337117352	0.00475330482456021	0.0066054482206427
"10"	22	0.00493066687258943	0.00800557087029037	0.00534344057092419	0.00667919298468792	0.00617311928918208	0.00593363857167181	0.00447311884450053	0.00515905102474122	0.0039398824912891	0.00620236027277038	0.00732592304143397	0.00510238892048018	0.00723239399233208	0.00636180425308706	0.00621616149541146	0.00650219648168122	0.00485201857197863	0.00585923221024946	0.0041998457382406	0.00730068597906063	0.00657419251964758	0.00510547472683739	0.00756681286400278	0.00628229726676874	0.0056090961538835	0.00469003067001121	0.00706995809582363	0.00840056694180031	0.0074525316193183	0.00626971569444094	0.00491378542332683	0.00656091305183544	0.00902904069671106	0.00753582017991965	0.00687640751175601	0.00573601844002548	0.00586462680129759	0.00838751215004685	0.00735218009543705	0.00648707179588983	0.00375666955980407	0.00509714909553502	0.00751454069608518	0.00715341935844771	0.00558792996962823	0.00780362468793845	0.00915595525928391	0.00714484558283458	0.0047743966488496	0.00660443469705235
