"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"
"1"	6.45	1.02091319746836e-06	1.12453263701571e-06	7.63052545461319e-07	7.83108806192586e-07	9.0162749906631e-07	9.93721871968907e-07	8.15418303797379e-07	1.19169187645025e-06	8.51337936188616e-07	9.39427546308015e-07	7.51348809073316e-07	8.12204685017425e-07	1.18440068494357e-06	1.25222587335325e-06	7.97700216484156e-07	9.55645887197244e-07	7.35608382141636e-07	7.68528036692799e-07	8.16851658559728e-07	9.81919896329214e-07	9.94241052345598e-07	1.18775352956082e-06
"2"	6.6	1.007143361476e-06	1.13053816288302e-06	7.53592812446578e-07	7.69311786978796e-07	9.47363798743213e-07	9.84178387926222e-07	8.17634823748536e-07	1.1899877458396e-06	8.29868580256931e-07	9.20213143207731e-07	7.56256838898124e-07	8.02037794804271e-07	1.18035324393683e-06	1.26384366715355e-06	7.86853977016296e-07	9.44824724854377e-07	7.21760175500944e-07	7.70621893634664e-07	8.12457211244952e-07	9.87604064586152e-07	9.86342901871835e-07	1.18601649336446e-06
"3"	6.75	1.00226384412707e-06	1.12684648917273e-06	7.52414105029669e-07	7.85627793448043e-07	9.46851194651136e-07	9.85194805091372e-07	8.17544413664155e-07	1.18227312921644e-06	8.31217366418752e-07	9.31839157754226e-07	7.22307034932348e-07	7.94739772311379e-07	1.1634368716874e-06	1.27255453052854e-06	7.92315861203845e-07	9.75967541440136e-07	7.25361809120707e-07	7.34567868205411e-07	8.0007613182344e-07	1.00055673677472e-06	9.49361389250046e-07	1.18344446473397e-06
"4"	6.9	9.644034953212e-07	1.13049442352194e-06	6.68445750688474e-07	7.94902210897608e-07	9.43918771463793e-07	9.94842184029615e-07	7.4706459707046e-07	1.16661630825518e-06	8.52270396493318e-07	9.38318007358369e-07	7.23190241903276e-07	8.00781876488513e-07	1.16346231902895e-06	1.26281431606186e-06	7.90346791222531e-07	9.67001700171492e-07	7.60918281727159e-07	7.4279913872208e-07	7.90333704964666e-07	1.01191475795679e-06	9.50768134431726e-07	1.18375433348941e-06
"5"	7.05	9.64791323404856e-07	1.13172638538674e-06	6.69118006217628e-07	7.92249817058799e-07	9.55770022654426e-07	9.93485710780834e-07	7.87441123530719e-07	1.16808551264076e-06	8.65216826509661e-07	9.50904463598058e-07	7.11143083066664e-07	8.12434976423385e-07	1.16370285760113e-06	1.26948758792943e-06	7.98470315305495e-07	9.63501519320834e-07	7.67805105825938e-07	7.38141588100034e-07	8.01446963035694e-07	1.01478064032554e-06	9.55130211152525e-07	1.19605006121288e-06
"6"	7.2	9.67538033114141e-07	1.11984390943683e-06	6.69987205945269e-07	7.30343610718226e-07	9.69883244866994e-07	1.00309918196004e-06	7.89501598487931e-07	1.16989269138829e-06	8.70739561389507e-07	1.06613111915278e-06	6.97978606808637e-07	7.86303669283768e-07	1.17516801503643e-06	1.27082695754217e-06	7.99838328491078e-07	1.00937449843094e-06	7.63824503810548e-07	7.95454235008368e-07	7.8431230965029e-07	1.02920562733953e-06	9.58051713546688e-07	1.20285516195919e-06
"7"	7.35	9.58491819037423e-07	1.12332097214112e-06	6.60635224639848e-07	7.20898856077081e-07	9.83534783827159e-07	1.00309138687266e-06	7.96174783281958e-07	1.19144452919313e-06	8.77111823935685e-07	1.02312204964192e-06	7.08550375944882e-07	7.83757811933794e-07	1.18594455896282e-06	1.26704640420736e-06	7.78795050340646e-07	1.03039882635167e-06	7.69118783003072e-07	8.4056556485942e-07	7.79790733655475e-07	1.01151234356398e-06	9.50405070271931e-07	1.10200470051365e-06
"8"	7.5	9.54510914326899e-07	1.13857217102925e-06	6.75180739094683e-07	7.27667858413683e-07	9.75339028657292e-07	9.78296546590785e-07	7.99879805614073e-07	1.17885700122313e-06	8.53095040338422e-07	1.0292974885071e-06	9.32369695736345e-07	7.84570964374274e-07	1.18708430272888e-06	1.25723271251348e-06	7.82009165088031e-07	1.02999026970195e-06	7.67021980574578e-07	8.57697227498404e-07	8.07661534576828e-07	1.00468343623493e-06	9.42874667347004e-07	1.08747537922375e-06
"9"	7.65	9.69363764422291e-07	1.1234157575704e-06	6.80979325165421e-07	7.29242832657215e-07	9.85515029107168e-07	9.78786330238538e-07	8.02125843845646e-07	1.17231428879721e-06	8.58332009843726e-07	1.02289211853601e-06	9.2528416477318e-07	8.21621742370143e-07	1.20454347526114e-06	1.25871434970769e-06	7.81908531294036e-07	1.03143667548695e-06	7.53144846331734e-07	8.84118678164472e-07	8.12801405308267e-07	1.00682411471636e-06	9.38508833463041e-07	1.08135504310718e-06
"10"	7.8	9.69751253084184e-07	1.12327089173674e-06	6.84446628786479e-07	7.33450792705485e-07	9.92972407909826e-07	9.61713695915402e-07	8.02769472269698e-07	1.17277360008643e-06	8.56517732340485e-07	1.07169728987707e-06	9.46102223317122e-07	8.28101446968817e-07	1.19766662384758e-06	1.26116287423448e-06	7.79364871768815e-07	1.03914366832834e-06	7.50934943924228e-07	8.94129506225254e-07	8.14602944889237e-07	1.01107712012662e-06	9.35098613973221e-07	1.0755446392643e-06
"11"	7.95	9.74115316578119e-07	1.19950974090431e-06	6.71536682187766e-07	8.21352681751753e-07	9.96815342626236e-07	9.67986265547049e-07	8.01085409296641e-07	1.17300991306927e-06	8.19811964703241e-07	1.06457045815654e-06	9.63553501784233e-07	8.24128679197064e-07	1.20908854302964e-06	1.26700936673374e-06	7.89707766830616e-07	1.04130118951795e-06	7.82279017769897e-07	8.83143788120066e-07	8.02508280977199e-07	1.010238568024e-06	9.21236818312902e-07	1.08529964402855e-06
