"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"
"1"	6.45	-0.0318909854663131	-0.160589504255721	-0.186850674771806	0.125658872577111	-0.170083739565574	-0.258770776684683	0.0223258003749579	0.0352042138431935	0.00374260447151762	0.012986941134908	-0.221202661362441	-0.0255041385294885	-0.140384603374816	-0.0328352299313815	-0.244281362037715	0.0872020149792794	-0.328237521686968	-0.415208873206582	0.232542414832455	-0.0115085492766774	-0.0492592059826427	-0.0290958321225187
"2"	6.6	-0.0157047203587773	-0.200339554111501	-0.199367346021553	0.137163749377367	-0.216068593978166	-0.281008309530241	0.0340230136942231	0.0476618838969958	-0.0145766491285966	-0.0212138107123093	-0.213606207683896	-0.049011882283789	-0.114828780132058	-0.131180332045232	-0.259959881988403	0.0869258245706883	-0.344008642679628	-0.386547558351414	0.191055871378345	-0.00959775160682022	-0.0166547003774326	-0.0275025271201666
"3"	6.75	-0.050219977713069	-0.190604676587775	-0.17175499784066	0.136023894156021	-0.22288748422627	-0.287049072060284	0.0164097673366815	0.00593387520993263	-0.0250852518239817	-0.0235606614529517	-0.155121886612248	-0.0789646016958401	-0.114619691773287	-0.0755391308865614	-0.291755475492812	0.0894036467104804	-0.350532796217367	-0.337192342776905	0.236326269173258	-0.0526972982484433	-0.0130975746398218	-0.0284017853787589
"4"	6.9	-0.0845029839656088	-0.197966620935769	-0.175446450554837	0.0984427592358833	-0.224726556613399	-0.302214316174845	0.0312069194504964	-0.00375224928238946	-0.0476235173491215	-0.0735231652260936	-0.11493525538797	-0.108289149090645	-0.113160343892233	-0.0592347000037905	-0.305764327393756	0.180250000839442	-0.296782249654418	-0.293000265768982	0.253482058983431	-0.101174188005261	-0.0126137422630744	-0.0298785230908042
"5"	7.05	-0.0644248078991759	-0.202355584645398	-0.158513338176927	0.128512328001857	-0.216344795252654	-0.300908065282869	0.0306374535495373	0.000427146587791716	-0.088282777594205	-0.126099541886546	-0.146506035274703	-0.0425567230019958	-0.122969520324755	-0.0533336290879934	-0.327273819893904	0.179415960919837	-0.310246914460894	-0.264024442306795	0.273724212412209	-0.144113168035868	-0.0192335992573643	-0.0298843651343734
"6"	7.2	-0.0929557861365584	-0.186116494968723	-0.151170764792463	0.237555599778643	-0.239165810310232	-0.296012360715976	-0.00732028381991451	0.00650621998941059	-0.0661700296831412	-0.279152242053626	-0.123861005992585	-0.0670829136867165	-0.108349016107962	-0.047969037123825	-0.309640084636311	0.175331163870011	-0.322283685627969	-0.275797799590774	0.278614993602802	-0.084822455462909	0.0108142082555517	0.0449637493199858
"7"	7.35	-0.125497476036645	-0.189621035892275	-0.143918271775582	0.198128180452315	-0.19377386984707	-0.292003959687354	0.00927127523560875	0.033279980273726	-0.0397851608420874	-0.272649256445937	-0.118819123299816	-0.0559595379704801	-0.065824639166924	-0.0385971117693795	-0.318715699941817	0.0982729776058031	-0.30403819360227	-0.0925486349371427	0.27615861547633	-0.112180899285723	0.0249795838499479	0.124658081275681
"8"	7.5	-0.123221454570807	-0.162180679311645	-0.149440449989576	0.244369389936448	-0.21211967235153	-0.276524653616861	0.0270915027874497	0.0253345527636592	-0.0527839598713044	-0.239238507565694	-0.291208968798705	-0.0499287201929767	-0.0539932320955438	-0.0195276932736372	-0.298415355017057	0.099308212169824	-0.282666268364888	-0.16128731241953	0.306560885690843	-0.0937456511218566	0.0051283637156423	0.104555343883969
"9"	7.65	-0.112735338837342	-0.133065729642044	-0.1143076614457	0.247977693742311	-0.226620775707056	-0.263558798364761	0.0121525395402447	0.0223079368864024	-0.0749393183691737	-0.22170763486544	-0.193760546794775	-0.0810671835541537	-0.0908952680884906	-0.0262629633742122	-0.300668898973016	0.0997972247351159	-0.248403016617606	-0.214773969637577	0.24947392252258	-0.125740897898446	-0.0328333220959021	0.0860423321724786
"10"	7.8	-0.100346763948388	-0.136485645751534	-0.118231936590156	0.26742341296596	-0.21069676668933	-0.25745516869613	0.0116321480941489	0.0205576849568268	-0.0939277851098059	-0.244036872028142	-0.198624256003507	-0.109871908481852	-0.0678202727698145	-0.0346144121766447	-0.300484256490044	0.104133608141056	-0.206983886929921	-0.237640417020066	0.263920667769591	-0.0851469870880115	-0.0669756187753399	0.0951345486428589
"11"	7.95	-0.111229812508084	-0.182826490794537	-0.0863385565381001	0.170721516523133	-0.187247043893466	-0.254700528339231	-0.0222854208768307	0.0188282019401052	-0.0668890819507812	-0.282710920743699	-0.231684853306365	-0.121614219818393	-0.0343532263577428	-0.0286490229208094	-0.307997399870875	0.0812455471209505	-0.146983855706362	-0.234517846466005	0.325391285966792	-0.0935655348081122	-0.10835221221514	0.116824386123922
"12"	8.1	-0.0891802935341813	-0.220448109768543	-0.112267287009452	0.027879822638417	-0.231493698248971	-0.303070293940932	0.0093666113369612	0.00817393515394148	-0.103218875666023	-0.269836794844841	-0.186801359163973	-0.0819639083186184	0.0097602402729283	-0.0468974542627312	-0.270927049381442	0.105814673776376	-0.0585339664403184	-0.234834653879383	0.336383331516624	-0.120989593232255	-0.119070416197749	0.160696787489552
