"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"
"1"	7.875	-0.0443558603346563	0.0214171383475253	-0.310109261221921	-0.141294511288253	-0.0454178767685242	0.123894654247217	0.180850777873198	0.366989967851268	-0.0642267556161188	0.294686048461776	0.128810866170808	-0.0850800621403661	-0.129620696472015	-0.0312180042196972	-0.116715474620092	-0.113451927560554	-0.181153716427769	-0.15342776280652	-0.129129171200684	-0.0451984696523838	-0.0788136069995692	-0.0898998124650476	-0.0657774289385838	-0.0697733448259842	0.0605063200693185	0.0642144551410628	0.132536808242792	0.122763266626651	-0.0874856371975217	0.0596335826634782	-0.206576168258934	0.0376865332932706	-0.134599913384851	-0.218657748593462	0.205382809187762	-0.191218850962686	-0.0609465966805962	0.0539905281682382	-0.0492974279548162	-0.0186612282723152	-0.149635008689683	-0.132260679579556	-0.116044464541173	-0.167537447215935	-0.0701163660824551	0.0167267852233398	0.0642517763378755	-0.273165175861413	-0.113758185382918	0.0809266317381334	-0.0208230258098629	-0.0906499175658301	-0.289293597808972	0.107025353222323	-0.126504832025407	0.119602331844995	-0.0476234140194179	-0.0181174717181442	0.0418477034281619	0.0485039851433086	-0.26003454489794	-0.0435876668165055	0.00979459344787449	-0.205390766586884	-0.213474459496579	0.00105121172595967	-0.152374756594016	-0.19897853629204	-0.0917880243634553	0.0596597227805729	-0.141471864524864	-0.200927540433623	-0.25748491749583	-0.088892169182058	0.0555156920541377	0.0153248793619009	-0.344414633837703	-0.100525110312283	-0.0190718623777037	-0.0348506345533397	-0.240670148789704	0.0418435729482989	0.00120205874700013
"2"	8	-0.0627920634320276	0.0310931084847717	-0.331909170081829	-0.0911697471106523	-0.0116246285328112	0.158082265439062	0.172366715389287	0.390618253054689	-0.0996482627534224	0.326746710528045	0.106403965306234	-0.0503072715170679	-0.156585506294324	-0.056639626079817	-0.137734663295233	-0.0996049203724708	-0.170007597545217	-0.132298466026903	-0.130411094803296	-0.0833239508935153	-0.0651223991926865	-0.109933654054197	-0.0663240538263953	-0.0632400743003484	0.0607372943589506	0.069380997388593	0.122670130343974	0.095584533406604	-0.0821026102057247	0.0748350942972245	-0.227763625333276	0.0254365777108032	-0.141892896778208	-0.229836362974605	0.158295059861116	-0.187257201204083	-0.0605777478650904	0.0407645578348861	-0.0457072575605439	0.0832442215548035	-0.143302510770225	-0.133307314084656	-0.145071354272393	-0.16624400946789	-0.0716559578867132	0.00249706721912681	0.0372189339626499	-0.289675844068154	-0.118724853326486	0.098016880215339	-0.0199926498901332	-0.117135166422973	-0.288681112879735	0.105826371288651	-0.136398090013346	0.108961805404656	-0.0532475218093228	-0.0582097349777118	0.0931507132755801	0.0507044241974039	-0.274282280791632	-0.0439100592818431	0.00776195522596035	-0.200150667684934	-0.195264375360699	-0.00132175356674792	-0.150936934308025	-0.218354125294589	-0.0929868744611943	0.0807585244515473	-0.146403511137354	-0.211425618995511	-0.284317603912473	-0.0830309151860712	0.0303425663143362	0.0265368173095858	-0.255927814463483	-0.0932410287847926	-0.031251872457349	-0.0546999052936714	-0.231792119398652	0.038803048632826	-0.0222463823966894
"3"	8.125	-0.0534876938167716	0.0506824862776244	-0.330536848878102	-0.10686863998092	-0.00572608883102226	0.141248014273398	0.183967447899495	0.375682650401314	-0.0571231518749311	0.296427038305405	0.123919532733601	-0.0818305840321299	-0.146661273833616	-0.0522668275386655	-0.155309379033692	-0.080672916857587	-0.162169666631467	-0.0828824573085588	-0.126469634273459	-0.0475524746944711	-0.0849732816380545	-0.115314184095357	-0.065600815576832	-0.0639971352788408	0.0712756267767844	0.0609753585930945	0.12460967626168	0.0767926072804404	-0.0954896748811909	0.0751051346539238	-0.232273082914584	0.0108840557238664	-0.142898640685936	-0.218469354208833	0.131337009873613	-0.215648086271755	-0.0699458138788897	0.027961112517478	-0.0418335983388304	0.114788210524241	-0.15260226825324	-0.129625332334857	-0.156956437313858	-0.187350975178115	-0.0675221834977695	-0.0101484509815521	0.0341905133896582	-0.276861617497651	-0.14255721821606	0.107510887924964	-0.0198104836456387	-0.14390518428537	-0.285244122920918	0.112486251303265	-0.147147627498375	0.10631784548213	-0.0555637045852627	-0.0697744926128737	0.0635745273993321	0.0097388561265028	-0.285748262697361	-0.051299997009232	0.00264023113584801	-0.199283947365751	-0.203168328514178	-0.00220562593245934	-0.152747967571351	-0.201704214067841	-0.0925601496947431	0.0611304241334749	-0.142662830009437	-0.198316521230011	-0.29171026476535	-0.0915039828796936	0.0450610384932866	0.0601566781572985	-0.28117533438522	-0.0942603201555486	-0.0249087431622366	-0.0460626471936663	-0.23765565969259	0.0251071673025009	-0.0309243252794581
"4"	8.25	-0.053306913519807	-0.0607407306011254	-0.331182197067942	-0.106464302167713	-0.026236106749679	0.146055645068743	0.177830260795628	0.364940490944783	-0.0637998769461821	0.313061697177186	0.132968825873725	-0.07503555357544	-0.142891624515121	-0.037443890098498	-0.145930747831112	-0.115263038724341	-0.156241108599675	-0.0646797055393518	-0.109565532032839	-0.0470317108825924	-0.0840020124306277	-0.11687819510425	-0.0706873327978253	-0.0632614712281051	0.0323745611804445	0.0483641000863058	0.127509016734295	0.0903185701208888	-0.0658420819547227	0.066131861855838	-0.235434117916736	0.00907969281249426	-0.155638577888808	-0.217580775242896	0.161153746571617	-0.222132401011467	-0.0518866922520482	0.0101907789378542	-0.0550823419241871	0.118186535700494	-0.158940040428518	-0.130173420147139	-0.176767891407881	-0.160559644982944	-0.0558737251508413	-0.0289703625799328	0.0389805728982389	-0.249056368290422	-0.0298004779937888	0.111088783611199	-0.0133652408114788	-0.0772782279895581	-0.29010560202897	0.110152773726581	-0.172429738471776	0.122796853632101	-0.0546048712476179	-0.0761269231675578	0.084598453939747	0.0856387916375843	-0.283437120192067	-0.0231033031927891	-0.0169804459927919	-0.214445153545931	-0.196694614725858	-0.00312085174226673	-0.1447613927748	-0.194139736124574	-0.093761368462205	0.0516240045064696	-0.136279676467721	-0.180866066995863	-0.298255706032538	-0.110221329286458	0.0286966731486452	0.0559915524457252	-0.257533520879027	-0.0786497320665904	-0.0418044821139724	-0.0707529475879363	-0.280342960624212	0.0214962712426823	-0.00644126874252458
"5"	8.375	-0.0437885687196268	-0.0284479370339181	-0.33644924014618	-0.110452900784366	-0.0218692443692868	0.146971439258098	0.153555149405563	0.34431895765578	-0.0224993725141488	0.298244846929261	0.125827914776937	-0.0801511570506773	-0.129363018638029	-0.0711357886509163	-0.152781756271218	-0.111263807565578	-0.127762415282265	-0.0578166184665729	-0.109569222159034	-0.0392816573567669	-0.0831411072351262	-0.117525783406508	-0.0948394691937549	-0.0773253128562885	0.0541285024479469	0.0499897809165561	0.132062356936053	0.112250924752231	-0.067878836453056	0.0687648568785396	-0.230167585950846	0.0156742856253327	-0.133704907792369	-0.222840566666837	0.143312357224453	-0.217356555608829	-0.0320811763647043	-0.0277396200430735	-0.0444484767803782	0.116858708277769	-0.160491005803141	-0.126827620799794	-0.142939736737048	-0.143491219631763	-0.0397548171623166	-0.0134980782892786	-0.0144815289819293	-0.217779129430617	0.025753390349477	0.111454315835999	-0.00101106322463126	-0.0400954482484494	-0.300719583978466	0.10898940416968	-0.195148359331374	0.135351008899651	-0.0550302870545142	-0.0383268063692402	0.10076401164418	0.0747665008142522	-0.294482000081042	-0.0232146108420909	-0.0557137173870065	-0.223381586581953	-0.211268900275964	0.00869377892113929	-0.151968954161962	-0.161092449139382	-0.0944306867710518	0.0614734377727649	-0.115271008755117	-0.181140209036751	-0.311024639483692	-0.138556566056102	0.0217328072095887	0.0522567345052196	-0.239074526422885	-0.112699472216655	-0.0261658504298148	-0.0626896769558062	-0.282085379504584	0.0169618591603291	-0.0663970930378259
"6"	8.5	-0.0854300200941086	-0.0046126598129464	-0.317998966555728	-0.134664317776122	-0.0154345453741044	0.147444177292621	0.141167824138394	0.35142652458028	-0.0376212787048859	0.303346851172698	0.158603832219762	-0.0633376131884771	-0.139016723540013	-0.0703824981653773	-0.158902864827583	-0.124055348786868	-0.114956238027398	-0.0777037383221558	-0.128168842994863	-0.0333225722520303	-0.102650274132221	-0.109818563578522	-0.117967454513326	-0.0872053858557258	0.0346261341017489	0.0394948771616248	0.139957634271873	0.116695837320756	-0.0702546867766077	0.0626302429767795	-0.222517944959202	0.00993192737925521	-0.120383466296304	-0.221109746282524	0.120170998609568	-0.217730145556637	-0.0606632455133791	-0.0261786225964279	-0.0474727320723484	0.112395656273063	-0.160088280058515	-0.126196506221283	-0.124142331860264	-0.131103627748738	-0.0312431604786633	-0.00479050357021933	-0.135897407887268	-0.260079728500494	0.0788259179398302	0.111519286164732	0.0045380336355643	-0.0439364381462476	-0.278394517015477	0.116192421390469	-0.190553527828209	0.156732852049455	-0.0310988345155297	-0.0974368000020626	0.0903299953911226	0.0947642624895671	-0.281893981203944	-0.0157174514282141	-0.0768547617682739	-0.232025415979524	-0.239731288913512	-0.0154551123087949	-0.154712115652046	-0.146335123271618	-0.0927439325190129	0.0489251695247904	-0.101338657833573	-0.180156022657651	-0.295343827913204	-0.116768019701451	0.0601993092865489	0.0478408883186636	-0.251291417684609	-0.0957752333008037	-0.0100548270096991	-0.0490568520857859	-0.288339723106452	-0.0226905118693731	-0.042002027447251
"7"	8.625	-0.0827523762079575	-0.0187197201722376	-0.324956423204534	-0.10538042118988	-0.0186364052044268	0.149513808970623	0.159720191581561	0.362355368653351	-0.0361485664068288	0.322985286928079	0.0853219044786293	-0.052522004271609	-0.142436975991349	-0.0710636945601396	-0.162067959458072	-0.127458817413216	-0.115074898367169	-0.105260825685877	-0.143841628842425	-0.0381584515910367	-0.107075082897065	-0.118803048111433	-0.0824387085122946	-0.0982893602501769	0.00611104887159111	0.0484384376557217	0.147589865303725	0.120354287240323	-0.068958551196901	0.0727653550843772	-0.193017025625336	0.011649630856063	-0.113425525608609	-0.207371159042873	0.132663084967836	-0.224568104378515	-0.0624452896716412	-0.0187832689676528	-0.0513208140013045	0.135576911627341	-0.174697867085365	-0.104079467567165	-0.110587635851836	-0.122792158107134	-0.0530008794024788	-0.026116654065032	-0.125467209866794	-0.25836806127358	0.0195263623046079	0.109999797314495	-0.0134712825907262	-0.0299763982313366	-0.321649366773308	0.0883224353302195	-0.18609709954573	0.167866793701034	-0.0168871345647397	-0.12750076455977	0.0931550544042607	0.0921940516241462	-0.31256112394263	-0.0188602505391675	-0.0667467544321047	-0.24377279679571	-0.233177861958663	-0.0366575534809203	-0.138330416673001	-0.147685062152159	-0.102205523478286	0.0473005789059004	-0.102718381677275	-0.179013799546339	-0.306247558320621	-0.114506869192439	0.0090568533225427	0.0448406763409308	-0.235902964742522	-0.110362160268953	-0.00599739393422153	-0.0876839667589346	-0.270667589460071	-0.132218990428308	-0.0195274302870586
"8"	8.75	-0.0832721472672171	-0.00386207995203473	-0.320081351171024	-0.107150268364129	-0.0309877368819508	0.123527917689082	0.112835075009429	0.370709393483038	0.00754931586881501	0.287169030190191	0.108530342150913	-0.032305874342629	-0.161195425861452	-0.0711029067812598	-0.211975838207587	-0.124819911562583	-0.124761643719155	-0.122942747349187	-0.170356963564874	-0.0352295589351662	-0.0888226939015561	-0.113266247412292	-0.0713599771822901	-0.0717546918886738	0.0120727055681174	0.0318386351016914	0.145044506398193	0.145201157614356	-0.059134114756011	0.0883088954910465	-0.202286599780722	-0.014711148102456	-0.11872654389728	-0.202986794737109	0.135418382490802	-0.2087130142565	-0.0604775780709906	-0.000221273595081832	-0.0640796766580222	0.128183796587087	-0.159499170741012	-0.103363222125909	-0.094042659262967	-0.132788880424586	-0.00795608210967581	-0.0354677493543941	-0.13048722257902	-0.22932219805061	0.0509866854579473	0.166293806096353	0.00615953405106211	-0.0200876888976479	-0.320778958909586	0.102836781804424	-0.204646730922367	0.142941240738919	0.00257891182233073	-0.156364193440258	0.083610374414583	0.10300466008596	-0.285686043169355	-0.0175828699849944	-0.0802779021186066	-0.229238208761973	-0.230426006643169	-0.0398865360038245	-0.120249704635314	-0.145559272951065	-0.109306586093413	0.0615663592015872	-0.0855963647790464	-0.188618899611264	-0.336276945956297	-0.111369804988336	0.0173243775563598	0.0690178733567148	-0.242059882839782	-0.103105803693556	-0.00323295520579826	-0.0821566649806792	-0.308246014736943	-0.195128995129444	-0.0111605851179516
"9"	8.875	-0.0791035628221982	-0.052638401612673	-0.304979143167828	-0.0844537344110407	-0.0274393984915068	0.143966470429679	0.129373019711777	0.374883662788399	-0.0578806120664706	0.249743538376112	0.108948635499912	-0.0047911804387244	-0.0607560869552122	-0.0705239815570411	-0.212988770853778	-0.119125558051544	-0.126996195693315	-0.1301357232113	-0.136041143709221	-0.0233623201486979	-0.0884007953970217	-0.100810435970899	-0.067736358007047	-0.0574944745836087	0.0141883730613349	0.0619545210699982	0.137620269308937	0.149427275828769	-0.0532131965712817	0.25482313983098	-0.183278018670378	-0.0470017084171501	-0.116685072281819	-0.210399963840154	0.175204417453341	-0.208685504735991	-0.0579053895094326	-0.00978094811631238	-0.0875852479589243	0.103060960777588	-0.152522945003843	-0.11925799710978	-0.0863537480826193	-0.125470783247341	-0.0145837575829097	-0.0696513226168416	-0.138847676216951	-0.222921828502115	0.0705150017271285	0.159162092535274	-0.00659763874244302	-0.133150150149347	-0.212485103839468	0.115575833591019	-0.174670934868	0.10844695087148	0.00941039328642725	-0.133272370222801	0.0680168805621263	0.0879224993451254	-0.285983318510656	-0.031821519528878	-0.0805652681442315	-0.213887144977795	-0.242225176142101	-0.0443088336083327	-0.0924664788106581	-0.143022899161417	-0.108972079274427	0.0707745205077466	-0.117293072803133	-0.129375128098389	-0.342317166195191	-0.120419233636709	0.00518653188496332	0.029715419866765	-0.242351546710798	-0.120704971116935	0.00131210318925086	-0.0809372927884522	-0.29506518284673	-0.195084862630308	-0.0239370033520903
"10"	9	-0.0783734219902702	-0.0962566922884254	-0.31669518167148	-0.0694720892001884	-0.0106787610488364	0.161483850667573	0.136074951835169	0.376625777216793	-0.0116022737599727	0.302527412111368	0.109851440506497	0.000392744764767953	0.0167916397320674	-0.0521461509386011	-0.219803828472726	-0.128581518079509	-0.125852116987112	-0.115616886442059	-0.132052139882972	0.0239339684493114	-0.0898986556727188	-0.116199416544605	-0.106044966647414	-0.0842074877043706	0.0249290298474635	0.0701669682305099	0.146151825573669	0.131576379154472	-0.150034818193984	0.102724985076502	-0.19845499958849	-0.0261701273869042	-0.199117710185191	-0.203328690847591	0.170875470352518	-0.204832281373248	-0.0557346365262586	-0.0219475118107353	-0.0657438172751184	0.0853885549254775	-0.131243229515767	-0.104803901757561	-0.0756532431804066	-0.11993552185391	-0.0119932938707445	-0.0920767513073171	-0.146494267015288	-0.188783823429018	0.0848456690252084	0.16468970295584	-0.0143174428608952	-0.23803412392247	-0.21108504971339	0.123063515886139	-0.156634397303655	0.114563973217963	-0.035589044830087	-0.109580351353443	0.0753772786920453	0.0991576229597389	-0.283615231754585	-0.037091566339102	-0.0828639958788436	-0.203179919725424	-0.266292511403364	-0.0483371563325796	-0.0638796825818287	-0.120258754733545	-0.106822251934863	0.0386160596490074	-0.103271956151117	-0.0737429597420033	-0.339191928515714	-0.123098180792606	-0.00392098975551322	0.01384494694358	-0.238087025158166	-0.172254210424327	0.00418981183962637	-0.095967867637585	-0.31952938766489	-0.189660501756914	0.00581125796108804
